component,removal,dataset,full_mean,removed_mean,delta,cohens_d,p_value,p_holm,degrades_sig,improves_sig
C1 (RMS),NoRMS,ColonCancer,0.8831196581196582,0.8408547008547009,0.042264957264957305,3.2056751298170445,1.7137666960733877e-06,2.5706500441100815e-05,True,False
C1 (RMS),NoRMS,Leukemia,0.9860000000000004,0.9855555555555559,0.0004444444444444473,0.18257418583505536,0.31731050786291415,1.0,False,False
C1 (RMS),NoRMS,Sonar,0.8996438250096783,0.8969918699186991,0.0026519550909794632,0.16546460482146838,0.4050756775750509,1.0,False,False
C1 (RMS),NoRMS,WDBC,0.9793256740671736,0.9795021476996324,-0.00017647363245874755,-0.06719772589486962,0.7095643598518719,1.0,False,False
C1 (RMS),NoRMS,Zoo,0.980111111111111,0.9804285714285714,-0.00031746031746032,-0.07741429942141251,0.8875370839817152,1.0,False,False
C2 (ORL),NoORL,ColonCancer,0.8831196581196582,0.8809401709401711,0.0021794871794871902,0.18064462524307248,0.2507714623076178,1.0,False,False
C2 (ORL),NoORL,Leukemia,0.9860000000000004,0.9860000000000004,0.0,0.0,1.0,1.0,False,False
C2 (ORL),NoORL,Sonar,0.8996438250096783,0.8939643825009679,0.0056794425087107634,0.40200484095420086,0.06119070510453455,0.7954791663589492,False,False
C2 (ORL),NoORL,WDBC,0.9793256740671736,0.9793857061532888,-6.003208611501017e-05,-0.025726465388316733,0.9393683605650059,1.0,False,False
C2 (ORL),NoORL,Zoo,0.980111111111111,0.9807619047619046,-0.000650793650793661,-0.18246193379397094,0.2228009911811345,1.0,False,False
C3 (UMR),NoUMR,ColonCancer,0.8831196581196582,0.8814529914529915,0.0016666666666666754,0.17978348046557352,0.19657242191762392,1.0,False,False
C3 (UMR),NoUMR,Leukemia,0.9860000000000004,0.9860000000000004,0.0,0.0,1.0,1.0,False,False
C3 (UMR),NoUMR,Sonar,0.8996438250096783,0.8880294231513743,0.01161440185830425,1.0286852461133813,4.846853360944562e-05,0.0006785594705322387,True,False
C3 (UMR),NoUMR,WDBC,0.9793256740671736,0.9788588728458314,0.00046680122134238705,0.22620038474079848,0.3614493225493909,1.0,False,False
C3 (UMR),NoUMR,Zoo,0.980111111111111,0.9804285714285713,-0.00031746031746031264,-0.09916572986839754,0.7054569861112734,1.0,False,False
