algorithm,dataset,run_id,fitness,accuracy,n_selected_features,n_total_features,runtime_seconds
SCSO,BreastEW,7,0.0475742330995658,0.9575568913696866,5,9,470.0696306250029
SCSO,BreastEW,1,0.0331110514765516,0.9721661657363676,5,9,471.1174955419992
SCSO,BreastEW,2,0.0479296312198845,0.9560755689136968,4,9,471.9641722910019
SCSO,BreastEW,3,0.0352458494346644,0.9677651352511808,3,9,472.84689058300137
SCSO,BreastEW,0,0.0345563069510043,0.9707063117217688,5,9,473.49875754200184
SCSO,BreastEW,4,0.0396159057296885,0.9678402747960496,7,9,474.52480391700374
SCSO,BreastEW,5,0.0569990697008731,0.9457921854873336,3,9,477.5844604169979
SCSO,BreastEW,6,0.0353226468202852,0.9721768999570632,7,9,482.78263662500103
SCSO,BreastEW,9,0.0330897977195743,0.9721876341777588,5,9,474.92604629099515
SCSO,BreastEW,8,0.0424614999284385,0.9604765993988836,3,9,475.8920037499993
SCSO,BreastEW,11,0.0442964433948761,0.96199012451696,6,9,473.9286922500032
SCSO,BreastEW,10,0.059200038166118,0.9458136539287249,5,9,475.00772758300445
SCSO,BreastEW,13,0.0385260483755545,0.9678188063546588,6,9,475.17476483299833
SCSO,BreastEW,14,0.0345244263155383,0.9707385143838556,5,9,472.3274315410017
SCSO,BreastEW,15,0.0421486093220743,0.961914984972091,4,9,468.4194105419956
SCSO,BreastEW,12,0.0515864820380708,0.9546264491197938,6,9,477.9513347920001
SCSO,BreastEW,16,0.0468078932302847,0.9560863031343924,3,9,368.958076541996
SCSO,BreastEW,19,0.0639124564667716,0.9399313009875484,4,9,368.0645196670011
SCSO,BreastEW,23,0.0508732765612326,0.953102189781022,4,9,364.988937874994
SCSO,BreastEW,18,0.0406821000906445,0.9633963074280808,4,9,371.3716995830037
SCSO,BreastEW,21,0.0609900648824006,0.9428832116788322,4,9,368.96400616699975
SCSO,BreastEW,17,0.0313316516387577,0.9750858737655644,6,9,373.8520842920043
SCSO,BreastEW,20,0.0334558227183817,0.9706955775010734,4,9,370.8523229999992
SCSO,BreastEW,22,0.0515971089165594,0.9546157148990982,6,9,372.12615574999654
SCSO,BreastEW,24,0.1224866060779542,0.8785208243881495,2,9,340.8059127910019
SCSO,BreastEW,25,0.0319468059729973,0.9722198368398456,4,9,344.5394277500018
SCSO,BreastEW,27,0.0584336982968371,0.9443430656934304,3,9,343.705508250001
SCSO,BreastEW,26,0.0367679022947378,0.9707170459424646,7,9,345.90279054200073
SCSO,BreastEW,28,0.0475423524641,0.9575890940317732,5,9,343.8430127920001
SCSO,BreastEW,29,0.0447156027861267,0.9604443967367968,5,9,344.4098814579993
SCSO,ColonCancer,0,0.1825923076923077,0.8205128205128205,980,2000,438.9555712910005
SCSO,ColonCancer,1,0.2920411538461539,0.7102564102564102,1039,2000,439.6482037500027
SCSO,ColonCancer,2,0.1839615384615384,0.8192307692307692,1000,2000,479.4482555420036
SCSO,ColonCancer,6,0.2284096153846154,0.7743589743589743,1005,2000,476.8712946250016
SCSO,ColonCancer,3,0.229653846153846,0.7730769230769232,1000,2000,480.2730358749978
SCSO,ColonCancer,5,0.257246923076923,0.7448717948717949,934,2000,478.6102796659979
SCSO,ColonCancer,4,0.1978430769230769,0.8051282051282052,984,2000,479.6501194999946
SCSO,ColonCancer,7,0.1799488461538461,0.823076923076923,959,2000,478.8955076249986
SCSO,ColonCancer,8,0.1774353846153845,0.8256410256410257,964,2000,466.0261114579989
SCSO,ColonCancer,9,0.2739869230769231,0.7282051282051282,982,2000,467.4513645410043
SCSO,ColonCancer,10,0.1981280769230768,0.8051282051282052,1041,2000,447.3215639580012
SCSO,ColonCancer,11,0.1940903846153846,0.808974358974359,995,2000,447.1247627499979
SCSO,ColonCancer,13,0.2258061538461538,0.7769230769230769,992,2000,448.55749933399784
SCSO,ColonCancer,14,0.2270103846153845,0.7756410256410258,979,2000,448.48312254199845
SCSO,ColonCancer,12,0.1965938461538461,0.8064102564102564,988,2000,450.2499686670053
SCSO,ColonCancer,15,0.2450146153846154,0.7576923076923077,1026,2000,448.2854741249976
SCSO,ColonCancer,16,0.2601953846153845,0.7423076923076923,1016,2000,448.2178389580003
SCSO,ColonCancer,17,0.224516923076923,0.7782051282051282,988,2000,449.9937171670026
SCSO,ColonCancer,18,0.2435703846153845,0.758974358974359,991,2000,458.56471891600086
SCSO,ColonCancer,19,0.2615096153846153,0.7410256410256411,1025,2000,456.5344074579989
