algorithm,dataset,run_id,fitness,accuracy,n_selected_features,n_total_features,runtime_seconds
SCSO,BreastEW,7,0.04757423309956584,0.9575568913696866,5,9,470.0696306250029
SCSO,BreastEW,1,0.03311105147655163,0.9721661657363676,5,9,471.11749554199923
SCSO,BreastEW,2,0.04792963121988458,0.9560755689136968,4,9,471.9641722910019
SCSO,BreastEW,3,0.03524584943466445,0.9677651352511807,3,9,472.84689058300137
SCSO,BreastEW,0,0.03455630695100433,0.9707063117217689,5,9,473.49875754200184
SCSO,BreastEW,4,0.03961590572968855,0.9678402747960497,7,9,474.52480391700374
SCSO,BreastEW,5,0.0569990697008731,0.9457921854873336,3,9,477.5844604169979
SCSO,BreastEW,6,0.035322646820285276,0.9721768999570631,7,9,482.78263662500103
SCSO,BreastEW,9,0.03308979771957437,0.9721876341777588,5,9,474.92604629099515
SCSO,BreastEW,8,0.042461499928438534,0.9604765993988836,3,9,475.8920037499993
SCSO,BreastEW,11,0.04429644339487618,0.9619901245169601,6,9,473.9286922500032
SCSO,BreastEW,10,0.05920003816611806,0.9458136539287247,5,9,475.00772758300445
SCSO,BreastEW,13,0.03852604837555459,0.9678188063546587,6,9,475.17476483299833
SCSO,BreastEW,14,0.03452442631553839,0.9707385143838557,5,9,472.3274315410017
SCSO,BreastEW,15,0.04214860932207431,0.961914984972091,4,9,468.4194105419956
SCSO,BreastEW,12,0.051586482038070834,0.9546264491197938,6,9,477.9513347920001
SCSO,BreastEW,16,0.04680789323028479,0.9560863031343925,3,9,368.958076541996
SCSO,BreastEW,19,0.06391245646677163,0.9399313009875483,4,9,368.06451966700115
SCSO,BreastEW,23,0.05087327656123265,0.953102189781022,4,9,364.988937874994
SCSO,BreastEW,18,0.04068210009064456,0.9633963074280807,4,9,371.37169958300365
SCSO,BreastEW,21,0.06099006488240061,0.9428832116788322,4,9,368.96400616699975
SCSO,BreastEW,17,0.031331651638757764,0.9750858737655645,6,9,373.8520842920043
SCSO,BreastEW,20,0.033455822718381795,0.9706955775010734,4,9,370.85232299999916
SCSO,BreastEW,22,0.05159710891655941,0.9546157148990982,6,9,372.12615574999654
SCSO,BreastEW,24,0.12248660607795422,0.8785208243881495,2,9,340.8059127910019
SCSO,BreastEW,25,0.031946805972997316,0.9722198368398456,4,9,344.5394277500018
SCSO,BreastEW,27,0.058433698296837124,0.9443430656934305,3,9,343.705508250001
SCSO,BreastEW,26,0.03676790229473787,0.9707170459424646,7,9,345.90279054200073
SCSO,BreastEW,28,0.04754235246410001,0.9575890940317733,5,9,343.8430127920001
SCSO,BreastEW,29,0.0447156027861267,0.9604443967367968,5,9,344.4098814579993
SCSO,ColonCancer,0,0.18259230769230772,0.8205128205128205,980,2000,438.9555712910005
SCSO,ColonCancer,1,0.2920411538461539,0.7102564102564102,1039,2000,439.6482037500027
SCSO,ColonCancer,2,0.18396153846153848,0.8192307692307692,1000,2000,479.4482555420036
SCSO,ColonCancer,6,0.22840961538461546,0.7743589743589743,1005,2000,476.8712946250016
SCSO,ColonCancer,3,0.22965384615384601,0.7730769230769232,1000,2000,480.27303587499773
SCSO,ColonCancer,5,0.25724692307692304,0.7448717948717949,934,2000,478.61027966599795
SCSO,ColonCancer,4,0.1978430769230769,0.8051282051282052,984,2000,479.6501194999946
SCSO,ColonCancer,7,0.17994884615384618,0.823076923076923,959,2000,478.8955076249986
SCSO,ColonCancer,8,0.17743538461538455,0.8256410256410257,964,2000,466.0261114579989
SCSO,ColonCancer,9,0.27398692307692313,0.7282051282051282,982,2000,467.4513645410043
SCSO,ColonCancer,10,0.19812807692307688,0.8051282051282052,1041,2000,447.3215639580012
SCSO,ColonCancer,11,0.1940903846153846,0.808974358974359,995,2000,447.1247627499979
SCSO,ColonCancer,13,0.22580615384615382,0.7769230769230769,992,2000,448.55749933399784
SCSO,ColonCancer,14,0.2270103846153845,0.7756410256410258,979,2000,448.48312254199845
SCSO,ColonCancer,12,0.19659384615384612,0.8064102564102564,988,2000,450.2499686670053
SCSO,ColonCancer,15,0.24501461538461541,0.7576923076923077,1026,2000,448.28547412499756
SCSO,ColonCancer,16,0.26019538461538455,0.7423076923076923,1016,2000,448.21783895800036
SCSO,ColonCancer,17,0.22451692307692306,0.7782051282051282,988,2000,449.9937171670026
SCSO,ColonCancer,18,0.24357038461538452,0.758974358974359,991,2000,458.56471891600086
SCSO,ColonCancer,19,0.26150961538461537,0.7410256410256411,1025,2000,456.5344074579989
SCSO,ColonCancer,20,0.16515807692307688,0.8384615384615385,1047,2000,458.9152357079947
SCSO,ColonCancer,21,0.16622230769230767,0.8371794871794872,1006,2000,458.6393631249957
SCSO,ColonCancer,23,0.2765453846153845,0.7256410256410257,986,2000,458.2694743749962
SCSO,ColonCancer,22,0.16353884615384615,0.8397435897435898,977,2000,460.0141417920022
SCSO,ColonCancer,24,0.21317884615384608,0.7897435897435898,1005,2000,446.06086312499974
SCSO,ColonCancer,25,0.19539961538461537,0.8076923076923077,1003,2000,445.4146675419979
SCSO,Diabetes,1,0.349186974789916,0.6510737628384686,3,8,321.7222890839985
SCSO,Diabetes,0,0.2552394957983193,0.7447075800016977,2,8,322.6205715420001
SCSO,ColonCancer,27,0.2779796153846154,0.7243589743589743,1019,2000,403.95137483299914
SCSO,ColonCancer,26,0.21049538461538453,0.7923076923076924,976,2000,406.3455705410015
SCSO,ColonCancer,29,0.19542961538461537,0.8076923076923077,1009,2000,407.32211066700256
SCSO,ColonCancer,28,0.3095453846153846,0.6923076923076923,986,2000,408.0928170420011
SCSO,Diabetes,2,0.2549768907563025,0.7512859689330278,7,8,340.084933750004
SCSO,Diabetes,3,0.2485189075630253,0.7552839317545199,5,8,341.1282214160019
SCSO,Diabetes,5,0.28988445378151256,0.7109752992105933,3,8,412.22879850000027
SCSO,Diabetes,4,0.3491512605042017,0.65237246413717,4,8,415.62991641699773
SCSO,Diabetes,6,0.26803571428571416,0.7330447330447332,3,8,437.81554320800205
SCSO,Diabetes,7,0.24985924369747914,0.7514048043459807,3,8,440.8932889580028
SCSO,Diabetes,8,0.36605462184873955,0.6327731092436975,2,8,437.3779441670049
SCSO,Diabetes,9,0.38018067226890756,0.6185043714455479,2,8,440.085464374999
SCSO,Diabetes,10,0.3376302521008404,0.6640098463627875,4,8,441.19759437499306
SCSO,Diabetes,11,0.2576701680672269,0.7460402342755283,5,8,438.6144078340003
SCSO,Diabetes,12,0.24085924369747896,0.7604957134368899,3,8,408.45738687500125
SCSO,Diabetes,13,0.27175210084033613,0.7330786860198625,6,8,415.93781737500103
SCSO,Diabetes,15,0.374890756302521,0.626372973431797,4,8,396.6268109169978
SCSO,Diabetes,14,0.2704663865546218,0.7343773873185638,6,8,401.82926854100515
SCSO,Diabetes,16,0.3492689075630253,0.6522536287242169,4,8,399.46289370800514
SCSO,Diabetes,17,0.34918487394957987,0.6523385111620406,4,8,396.85608570899785
SCSO,Diabetes,18,0.2911848739495798,0.7109243697478992,4,8,397.1510916250045
SCSO,Diabetes,19,0.24857773109243697,0.7552245140480435,5,8,399.8377543329989
SCSO,Diabetes,20,0.25124579831932775,0.7500042441218912,3,8,391.5806895409987
SCSO,Diabetes,21,0.36857983193277305,0.6327476445123504,4,8,391.7431462080058
SCSO,Diabetes,22,0.34150210084033616,0.6613615143026907,5,8,391.6248460830029
SCSO,Diabetes,23,0.28982983193277295,0.7135557253204313,5,8,392.83313158300007
SCSO,Diabetes,25,0.35175,0.6484848484848484,3,8,393.9083769170029
SCSO,Diabetes,24,0.3206428571428572,0.6836940836940837,6,8,395.7162382499955
SCSO,Diabetes,26,0.3466827731092437,0.6536032594856124,3,8,390.82356108300155
SCSO,Diabetes,27,0.2743424369747899,0.7291995586113234,5,8,393.803411957997
SCSO,Diabetes,28,0.35178991596638653,0.6497071555895085,4,8,392.7226030420061
SCSO,Diabetes,29,0.34795378151260503,0.651056786350904,2,8,386.3189206669995
SCSO,GermanCredit,1,0.3138600000000001,0.6859999999999999,6,20,721.1283304169992
SCSO,GermanCredit,0,0.30349000000000004,0.699,11,20,725.4519253750041
