algorithm,dataset,metric,mean,std,best,worst
AOA,BreastEW,accuracy,0.9615439387433805,0.01708697416046699,0.9722091026191496,0.8785208243881495
AOA,BreastEW,fitness,0.04707150064405321,0.015207463344302952,0.0375129884070417,0.1224866060779542
AOA,BreastEW,n_selected_features,8.1,1.8321208111548393,9.0,2.0
COA,BreastEW,accuracy,0.9488088593101475,0.023506970113451608,0.967829540575354,0.8785208243881495
COA,BreastEW,fitness,0.055345895949620694,0.022295531390759453,0.0362931992748439,0.1224866060779542
COA,BreastEW,n_selected_features,4.2,1.4236104336041748,8.0,1.0
ECL-SCSO,BreastEW,accuracy,0.9484202805209675,0.03163465559314109,0.9736582224130528,0.8199978531558608
ECL-SCSO,BreastEW,fitness,0.05587873709905691,0.030212177232211816,0.0316339153666333,0.1793132364868089
ECL-SCSO,BreastEW,n_selected_features,4.333333333333333,1.4681810363696826,7.0,1.0
GA,BreastEW,accuracy,0.9398719049663662,0.018364344683029537,0.958995276942894,0.8785208243881495
GA,BreastEW,fitness,0.06393422149070489,0.01723563855351485,0.0461502313820905,0.1224866060779542
GA,BreastEW,n_selected_features,3.966666666666667,1.1100550536897809,6.0,1.0
GWO,BreastEW,accuracy,0.9419182052382997,0.02372734665786629,0.9662945470158868,0.8785208243881495
GWO,BreastEW,fitness,0.062130606443712884,0.022087807677796424,0.0389239540098277,0.1224866060779542
GWO,BreastEW,n_selected_features,4.166666666666667,1.6947631758514883,6.0,1.0
HHO,BreastEW,accuracy,0.9113192357234864,0.17229905220501351,0.9721661657363676,0.0
HHO,BreastEW,fitness,0.09338654922634095,0.17101865446754488,0.0345775607079815,1.0
HHO,BreastEW,n_selected_features,4.733333333333333,2.5681813712344295,9.0,0.0
OOA,BreastEW,accuracy,0.9400021468441391,0.04965439498971674,0.9765671962215544,0.7715113782739372
OOA,BreastEW,fitness,0.06362009684652445,0.048006316659852055,0.0298651424073278,0.2273148466199132
OOA,BreastEW,n_selected_features,3.8,1.5362291495737217,8.0,1.0
PSO,BreastEW,accuracy,0.943670745670531,0.030694175579352636,0.9722091026191496,0.8048733361957922
PSO,BreastEW,fitness,0.0603955914158039,0.029462132650777774,0.0330685439625973,0.1942865082772769
PSO,BreastEW,n_selected_features,4.166666666666667,1.3682917167849196,7.0,1.0
RG-SCSO,BreastEW,accuracy,0.9741788321167884,0.0014798587415208117,0.9780163160154572,0.9707707170459424
RG-SCSO,BreastEW,fitness,0.03056295620437949,0.0011826721054897314,0.0279983183054244,0.0327981608701874
RG-SCSO,BreastEW,n_selected_features,4.5,1.2315302134607444,7.0,3.0
RIME,BreastEW,accuracy,0.9475336338915128,0.026856660323161963,0.9750858737655644,0.8447509660798627
RIME,BreastEW,fitness,0.05675651726221709,0.02540472200898539,0.0313316516387577,0.154807654692047
RIME,BreastEW,n_selected_features,4.333333333333333,1.4907119849998598,7.0,1.0
SCSO,BreastEW,accuracy,0.9581758980964649,0.017808602762203446,0.9750858737655644,0.8785208243881495
SCSO,BreastEW,fitness,0.046591046069684935,0.016899468486895608,0.0313316516387577,0.1224866060779542
SCSO,BreastEW,n_selected_features,4.666666666666667,1.2995725793078619,7.0,2.0
SSA,BreastEW,accuracy,0.8214208530127379,0.3231568656616383,0.9706741090596824,0.0
SSA,BreastEW,fitness,0.18308965181368567,0.32124015719099325,0.0356992986975811,1.0
SSA,BreastEW,n_selected_features,4.466666666666667,2.8836705005176224,9.0,0.0
WOA,BreastEW,accuracy,0.9099592099613568,0.17149638192052094,0.9736367539716616,0.0
WOA,BreastEW,fitness,0.09443667843455303,0.17030526724624095,0.0349885024569437,1.0
WOA,BreastEW,n_selected_features,4.466666666666667,2.604269997949948,9.0,0.0
AOA,ColonCancer,accuracy,0.7701282051282052,0.03262251642179244,0.8243589743589744,0.7076923076923076
AOA,ColonCancer,fitness,0.23752774358974355,0.03230082766322136,0.1836946153846153,0.2993846153846154
AOA,ColonCancer,n_selected_features,1990.9333333333334,16.47408739674388,2000.0,1929.0
COA,ColonCancer,accuracy,0.7762820512820513,0.040580855455474796,0.8564102564102564,0.676923076923077
COA,ColonCancer,fitness,0.22432743589743584,0.03968288030825764,0.1451788461538461,0.3211461538461538
COA,ColonCancer,n_selected_features,569.3333333333334,278.3122147676758,1042.0,91.0
ECL-SCSO,ColonCancer,accuracy,0.7726923076923078,0.02963018093394626,0.823076923076923,0.6948717948717948
ECL-SCSO,ColonCancer,fitness,0.229986282051282,0.029331864253153404,0.1802438461538462,0.306971923076923
