group,compared_with,p_value,RG-SCSO_mean,other_mean,cohens_d,rank_biserial_r,p_value_holm,mark
BreastEW,AOA,1.919722783767457e-06,0.9741788321167881,0.9615439387433805,0.7172332857286381,0.9956989247311828,8.661081165720569e-06,+
BreastEW,COA,1.7333066441991056e-06,0.9741788321167881,0.9488088593101477,1.0661622624189393,1.0,8.661081165720569e-06,+
BreastEW,GWO,1.862645149230957e-09,0.9741788321167881,0.9419182052382997,1.3406349520066843,1.0,1.1175870895385742e-08,+
BreastEW,PSO,1.7333066441991056e-06,0.9741788321167881,0.943670745670531,0.9642505832735708,1.0,8.661081165720569e-06,+
BreastEW,RIME,1.7333066441991056e-06,0.9741788321167881,0.9475336338915128,0.981805123310575,1.0,8.661081165720569e-06,+
BreastEW,SCSO,1.7322162331441138e-06,0.9741788321167881,0.958175898096465,0.8772265350999396,1.0,8.661081165720569e-06,+
ColonCancer,AOA,1.7256857880058038e-06,0.8809401709401711,0.7701282051282053,4.40734726657013,1.0,1.0347596290892135e-05,+
ColonCancer,COA,1.724599381815356e-06,0.8809401709401711,0.7762820512820514,3.0218872438528033,1.0,1.0347596290892135e-05,+
ColonCancer,GWO,1.7322162331441138e-06,0.8809401709401711,0.7647008547008547,3.54959195130937,1.0,1.0347596290892135e-05,+
ColonCancer,PSO,1.7322162331441138e-06,0.8809401709401711,0.7689743589743592,3.36751678603271,1.0,1.0347596290892135e-05,+
ColonCancer,RIME,1.7278603148724105e-06,0.8809401709401711,0.7775641025641027,3.7942701701957944,1.0,1.0347596290892135e-05,+
ColonCancer,SCSO,1.7289484360195754e-06,0.8809401709401711,0.781025641025641,2.892798669777552,1.0,1.0347596290892135e-05,+
Diabetes,AOA,1.862645149230957e-09,0.7600251817898879,0.7291251450074979,1.30759932495115,1.0,1.1175870895385742e-08,+
Diabetes,COA,2.5630832507250074e-06,0.7600251817898879,0.6989607560195796,1.2154534920617344,1.0,6.9332265767964225e-06,+
Diabetes,GWO,1.7333066441991056e-06,0.7600251817898879,0.656247347423818,0.8102241343822421,1.0,6.9332265767964225e-06,+
Diabetes,PSO,1.862645149230957e-09,0.7600251817898879,0.673732846674023,1.897621720296863,1.0,1.1175870895385742e-08,+
Diabetes,RIME,1.7333066441991056e-06,0.7600251817898879,0.6705882352941176,2.4430717584516644,1.0,6.9332265767964225e-06,+
Diabetes,SCSO,2.5630832507250074e-06,0.7600251817898879,0.6936652236652235,1.3825256565564423,1.0,6.9332265767964225e-06,+
GermanCredit,AOA,1.917328010935302e-06,0.7609666666666668,0.7412666666666667,2.146672142101194,0.9956989247311828,8.661081165720569e-06,+
