config,dataset,run_id,fitness,accuracy,n_selected_features,n_total_features,runtime_seconds
bPSO-TVT,BreastEW,5,0.032323457850293426,0.9707170459424646,3,9,369.67548774997704
bPSO-TVT,BreastEW,6,0.029454200658365494,0.9736152855302705,3,9,371.6484421659261
bPSO-TVT,BreastEW,0,0.028764658174705374,0.9765564620008588,5,9,376.8198702498339
bPSO-TVT,BreastEW,4,0.030178033013692027,0.975128810648347,5,9,376.89536375016905
bPSO-TVT,BreastEW,2,0.031331651638757764,0.9750858737655645,6,9,380.6048192088492
bPSO-TVT,BreastEW,3,0.030565311769476605,0.9736152855302705,4,9,380.6933651671279
bPSO-TVT,BreastEW,1,0.03312167835504031,0.972155431515672,5,9,384.8207534160465
bPSO-TVT,BreastEW,7,0.029520371165497848,0.9780377844568484,7,9,388.90378745784983
bPSO-TVT,BreastEW,9,0.030199286770669284,0.9751073422069558,5,9,378.46674129203893
bPSO-TVT,BreastEW,8,0.030533431134010882,0.9736474881923571,4,9,387.4888258341234
bPSO-TVT,BreastEW,10,0.03087820237584083,0.9721768999570631,3,9,384.39110004203394
bPSO-TVT,BreastEW,11,0.031602034731167364,0.9736904250751396,5,9,388.1406586249359
bPSO-TVT,BreastEW,12,0.028008945183912896,0.9750751395448691,3,9,385.1142040831037
bPSO-TVT,BreastEW,15,0.030888829254329404,0.9721661657363676,3,9,382.1295739170164
bPSO-TVT,BreastEW,14,0.031633915366633306,0.9736582224130528,5,9,388.548439625185
bPSO-TVT,BreastEW,13,0.03128914412480314,0.975128810648347,6,9,394.259876540862
bPSO-TVT,BreastEW,16,0.03164454224512199,0.9736474881923571,5,9,398.78603424993344
bPSO-TVT,BreastEW,17,0.029886396164305058,0.9765457277801632,6,9,401.00064129102975
bPSO-TVT,BreastEW,18,0.03053343113401066,0.9736474881923574,4,9,397.5405703340657
bPSO-TVT,BreastEW,19,0.030220540527646653,0.9750858737655645,5,9,398.894968040986
bPSO-TVT,BreastEW,21,0.03018865989218071,0.9751180764276514,5,9,397.37799941701815
bPSO-TVT,BreastEW,20,0.03166579600209903,0.9736260197509662,5,9,403.57768879202195
bPSO-TVT,BreastEW,22,0.030856948618863574,0.9721983683984543,3,9,404.48420800012536
bPSO-TVT,BreastEW,23,0.02954162492247511,0.9780163160154572,7,9,406.3033030000515
bPSO-TVT,BreastEW,24,0.032421508992891396,0.9751073422069559,7,9,390.51549179200083
bPSO-TVT,BreastEW,26,0.03164454224512199,0.9736474881923571,5,9,381.18827983294614
bPSO-TVT,BreastEW,25,0.03015677925671477,0.9751502790897382,5,9,385.26356195798144
bPSO-TVT,BreastEW,28,0.03227032345785023,0.9707707170459425,3,9,383.8080793749541
bPSO-TVT,BreastEW,29,0.0320105672439292,0.972155431515672,4,9,383.48321362491697
bPSO-TVT,BreastEW,27,0.0327981608701874,0.973604551309575,6,9,389.3001972499769
bPSO-TVT,ColonCancer,0,0.13311153846153853,0.8692307692307691,730,2000,447.5058714170009
bPSO-TVT,ColonCancer,1,0.14839730769230774,0.8538461538461538,741,2000,445.47776725003496
bPSO-TVT,ColonCancer,3,0.1456638461538462,0.8564102564102564,702,2000,444.7439903328195
bPSO-TVT,ColonCancer,2,0.08495076923076927,0.9179487179487179,744,2000,447.62859675008804
bPSO-TVT,ColonCancer,4,0.10007653846153844,0.9025641025641026,723,2000,444.43823779188097
bPSO-TVT,ColonCancer,6,0.13198730769230776,0.8705128205128204,759,2000,444.260748000117
bPSO-TVT,ColonCancer,5,0.16227384615384616,0.8397435897435898,724,2000,446.00628924998455
bPSO-TVT,ColonCancer,7,0.09629384615384616,0.9064102564102564,728,2000,445.4949496660847
bPSO-TVT,ColonCancer,8,0.1305630769230768,0.8717948717948719,728,2000,443.98633120791055
bPSO-TVT,ColonCancer,9,0.1305630769230768,0.8717948717948719,728,2000,443.38767437497154
bPSO-TVT,ColonCancer,10,0.10134576923076921,0.9012820512820513,723,2000,437.42479262501
bPSO-TVT,ColonCancer,12,0.11663653846153839,0.885897435897436,735,2000,437.9627902498469
bPSO-TVT,ColonCancer,11,0.11391807692307686,0.8884615384615385,699,2000,438.8804442498367
bPSO-TVT,ColonCancer,13,0.14710307692307695,0.8551282051282051,736,2000,436.1008630839642
bPSO-TVT,ColonCancer,14,0.11146961538461556,0.8910256410256409,717,2000,438.0764070828445
bPSO-TVT,ColonCancer,15,0.11531230769230762,0.8871794871794872,724,2000,438.94872320909053
bPSO-TVT,ColonCancer,17,0.12909384615384625,0.873076923076923,688,2000,435.957837624941
bPSO-TVT,ColonCancer,16,0.14473961538461544,0.8576923076923076,771,2000,436.83175054192543
bPSO-TVT,ColonCancer,18,0.14751807692307695,0.8551282051282051,819,2000,438.0043786249589
bPSO-TVT,ColonCancer,19,0.1636780769230769,0.8384615384615385,751,2000,437.86037100013345
bPSO-TVT,ColonCancer,20,0.14825730769230774,0.8538461538461538,713,2000,440.8510422089603
bPSO-TVT,ColonCancer,21,0.08241730769230775,0.9205128205128205,745,2000,441.49275954207405
bPSO-TVT,ColonCancer,22,0.13054307692307682,0.8717948717948719,724,2000,441.7328651249409
bPSO-TVT,ColonCancer,23,0.16468230769230766,0.8371794871794872,698,2000,442.56925245793536
bPSO-TVT,ColonCancer,25,0.11391807692307686,0.8884615384615385,699,2000,435.13041158299893
bPSO-TVT,ColonCancer,24,0.08522576923076927,0.9179487179487179,799,2000,436.10048908297904
bPSO-TVT,Diabetes,0,0.24989705882352933,0.7538918597742128,5,8,321.1768317921087
bPSO-TVT,Diabetes,1,0.24352731092436963,0.7603259485612428,5,8,329.3798202499747
bPSO-TVT,ColonCancer,26,0.09900730769230769,0.9038461538461539,763,2000,388.3800027919933
bPSO-TVT,ColonCancer,27,0.11678653846153839,0.885897435897436,765,2000,388.2375049581751
bPSO-TVT,ColonCancer,28,0.14850730769230774,0.8538461538461538,763,2000,388.4574404999148
bPSO-TVT,ColonCancer,29,0.13177730769230778,0.8705128205128204,717,2000,388.22209079097956
bPSO-TVT,Diabetes,2,0.2369411764705883,0.7657159833630421,4,8,349.08076649997383
bPSO-TVT,Diabetes,3,0.24208193277310922,0.7617859264918089,5,8,349.3467553749215
bPSO-TVT,Diabetes,4,0.2396323529411764,0.7617349970291147,3,8,414.1506967919413
bPSO-TVT,Diabetes,5,0.2357836134453782,0.7656226126814362,3,8,414.7556278340053
bPSO-TVT,Diabetes,6,0.25131302521008403,0.7499363381716323,3,8,430.5061529579107
bPSO-TVT,Diabetes,7,0.23440336134453796,0.7682794329853152,4,8,428.0851626659278
bPSO-TVT,Diabetes,8,0.24346848739495797,0.7603853662677192,5,8,437.53140050009824
bPSO-TVT,Diabetes,9,0.24988025210084036,0.7539088362617774,5,8,436.9648880409077
bPSO-TVT,Diabetes,11,0.25133823529411753,0.7499108734402853,3,8,432.53675158298574
bPSO-TVT,Diabetes,10,0.2435462184873949,0.7590442237501062,4,8,435.2373456249479
bPSO-TVT,Diabetes,12,0.24085924369747896,0.7604957134368899,3,8,439.5545174172148
bPSO-TVT,Diabetes,13,0.2395861344537815,0.7643069348951702,5,8,449.8012201669626
bPSO-TVT,Diabetes,15,0.2382773109243697,0.7643663526016468,4,8,447.18435458280146
bPSO-TVT,Diabetes,14,0.2458949579831933,0.7591970121381886,6,8,455.54914395790547
bPSO-TVT,Diabetes,16,0.2511134453781513,0.7539258127493421,6,8,459.8016437080223
bPSO-TVT,Diabetes,17,0.24085504201680677,0.7630252100840336,5,8,457.0540517081972
bPSO-TVT,Diabetes,19,0.2396827731092437,0.7616840675664205,3,8,444.74891158309765
bPSO-TVT,Diabetes,18,0.252468487394958,0.7512944571768101,5,8,462.99258516705595
bPSO-TVT,Diabetes,20,0.2420882352941176,0.7630421865715984,6,8,463.4901105409954
