algorithm,dataset,run_id,fitness,accuracy,n_selected_features,n_total_features,runtime_seconds
MI-threshold,Zoo,1,0.1582357142857144,0.8414285714285713,2,16,1.2787730693817139
MI-threshold,Zoo,0,0.24592142857142854,0.7528571428571429,2,16,1.335151195526123
MI-threshold,Zoo,2,0.28536785714285706,0.7123809523809524,1,16,1.2408370971679688
MI-threshold,Zoo,4,0.2853678571428572,0.7123809523809523,1,16,1.221466302871704
MI-threshold,Zoo,3,0.28536785714285706,0.7123809523809524,1,16,1.2367479801177979
MI-threshold,Zoo,5,0.31365357142857136,0.6838095238095239,1,16,1.227973222732544
MI-threshold,Zoo,7,0.4225535714285715,0.5738095238095238,1,16,1.2019767761230469
MI-threshold,Zoo,6,0.24592142857142854,0.7528571428571429,2,16,1.2217628955841064
MI-threshold,Zoo,10,0.1880892857142856,0.811904761904762,3,16,0.8481662273406982
MI-threshold,Zoo,13,0.3155392857142856,0.681904761904762,1,16,0.8291640281677246
MI-threshold,Zoo,11,0.1577642857142857,0.8419047619047619,2,16,0.8708150386810303
MI-threshold,Zoo,9,0.30422499999999986,0.6933333333333335,1,16,0.9047582149505615
MI-threshold,Zoo,8,0.24545000000000003,0.7533333333333333,2,16,0.9215490818023682
MI-threshold,Zoo,12,0.28442499999999993,0.7133333333333334,1,16,0.8832387924194336
MI-threshold,Zoo,14,0.3249678571428571,0.6723809523809524,1,16,0.9262211322784424
MI-threshold,Zoo,15,0.16813571428571442,0.8314285714285713,2,16,0.9326679706573486
MI-threshold,Zoo,17,0.2839535714285713,0.7138095238095239,1,16,0.8689301013946533
MI-threshold,Zoo,19,0.28442500000000004,0.7133333333333333,1,16,0.8464348316192627
MI-threshold,Zoo,18,0.1869928571428572,0.8123809523809523,2,16,0.8583872318267822
MI-threshold,Zoo,16,0.1582357142857143,0.8414285714285714,2,16,0.8864607810974121
MI-threshold,Zoo,21,0.28489642857142855,0.7128571428571429,1,16,0.8615961074829102
MI-threshold,Zoo,20,0.11988571428571437,0.8814285714285713,4,16,0.8810422420501709
MI-threshold,Zoo,23,0.314125,0.6833333333333333,1,16,0.8346869945526123
MI-threshold,Zoo,22,0.2853678571428572,0.7123809523809523,1,16,0.8626959323883057
MI-threshold,Sonar,0,0.3148739837398374,0.6821138211382114,1,60,0.07090210914611816
MI-threshold,Sonar,1,0.3283269454123113,0.6685249709639953,1,60,0.07265591621398926
MI-threshold,Sonar,2,0.3239576074332173,0.6729384436701509,1,60,0.07809996604919434
MI-threshold,Sonar,3,0.2899227642276423,0.7073170731707317,1,60,0.06879305839538574
MI-threshold,Sonar,4,0.3003861788617887,0.6967479674796747,1,60,0.061688899993896484
MI-threshold,Sonar,5,0.30935481997677117,0.6876887340301975,1,60,0.0581820011138916
MI-threshold,Sonar,6,0.3390203252032519,0.6577235772357725,1,60,0.06494688987731934
MI-threshold,Sonar,7,0.2949819976771197,0.7022067363530777,1,60,0.08485817909240723
MI-threshold,Sonar,8,0.29555691056910566,0.7016260162601626,1,60,0.08047819137573242
MI-threshold,Sonar,9,0.3335011614401858,0.6632984901277584,1,60,0.0662839412689209
MI-threshold,Sonar,10,0.30464053426248555,0.6924506387921021,1,60,0.06703782081604004
MI-threshold,Sonar,11,0.352588269454123,0.6440185830429733,1,60,0.06155276298522949
MI-threshold,Sonar,12,0.32384262485481996,0.673054587688734,1,60,0.06255292892456055
MI-threshold,Sonar,13,0.3337311265969802,0.6630662020905924,1,60,0.06114315986633301
