algorithm,dataset,run_id,accuracy,n_selected_features,target_k
ConcreteAE,Zoo,0,0.9209523809523812,6,7
ConcreteAE,Zoo,1,0.8609523809523811,5,7
ConcreteAE,BreastEW,0,0.9619042507513955,4,4
ConcreteAE,BreastEW,1,0.9385465865178189,4,4
ConcreteAE,BreastEW,2,0.9443537999141263,4,4
ConcreteAE,BreastEW,3,0.9472735079433233,4,4
ConcreteAE,BreastEW,4,0.9297337913267498,4,4
ConcreteAE,BreastEW,5,0.9341348218119364,4,4
ConcreteAE,BreastEW,6,0.9341133533705452,4,4
ConcreteAE,BreastEW,7,0.9531451266638042,4,4
ConcreteAE,BreastEW,8,0.9604551309574925,4,4
ConcreteAE,BreastEW,9,0.9487655646200086,4,4
ConcreteAE,BreastEW,10,0.944332331472735,4,4
ConcreteAE,BreastEW,11,0.9590274796049807,4,4
ConcreteAE,BreastEW,12,0.9502361528553027,4,4
ConcreteAE,BreastEW,13,0.9458351223701159,4,4
ConcreteAE,BreastEW,14,0.9019321597252039,3,4
ConcreteAE,BreastEW,15,0.9443108630313439,4,4
ConcreteAE,BreastEW,16,0.9370223271790469,4,4
ConcreteAE,BreastEW,17,0.9472627737226278,4,4
ConcreteAE,BreastEW,18,0.9473164448261058,4,4
ConcreteAE,BreastEW,19,0.9560541004723057,4,4
ConcreteAE,BreastEW,20,0.9385036496350365,4,4
ConcreteAE,BreastEW,21,0.9531451266638042,4,4
ConcreteAE,BreastEW,22,0.957546157148991,4,4
ConcreteAE,BreastEW,23,0.9385036496350365,4,4
ConcreteAE,BreastEW,24,0.939984972091026,4,4
ConcreteAE,BreastEW,25,0.951728209531988,4,4
ConcreteAE,BreastEW,26,0.9604980678402748,4,4
ConcreteAE,BreastEW,27,0.9458351223701159,4,4
ConcreteAE,BreastEW,28,0.9649098325461571,4,4
ConcreteAE,BreastEW,29,0.9414018892228423,4,4
ConcreteAE,ColonCancer,0,0.8064102564102564,309,563
ConcreteAE,ColonCancer,1,0.7576923076923077,316,563
ConcreteAE,ColonCancer,2,0.8371794871794872,313,563
ConcreteAE,ColonCancer,3,0.7743589743589743,323,563
ConcreteAE,ColonCancer,4,0.7871794871794872,324,563
ConcreteAE,ColonCancer,5,0.7602564102564102,316,563
ConcreteAE,ColonCancer,6,0.758974358974359,327,563
ConcreteAE,ColonCancer,7,0.7897435897435898,311,563
ConcreteAE,ColonCancer,8,0.7923076923076924,337,563
ConcreteAE,ColonCancer,9,0.8717948717948719,341,563
ConcreteAE,ColonCancer,10,0.8051282051282052,326,563
ConcreteAE,ColonCancer,11,0.7576923076923077,311,563
ConcreteAE,ColonCancer,12,0.7756410256410258,315,563
ConcreteAE,ColonCancer,13,0.7576923076923077,329,563
ConcreteAE,ColonCancer,14,0.7448717948717949,304,563
ConcreteAE,ColonCancer,15,0.8705128205128204,337,563
ConcreteAE,ColonCancer,16,0.7948717948717949,319,563
ConcreteAE,ColonCancer,17,0.8551282051282051,321,563
ConcreteAE,ColonCancer,18,0.8076923076923077,326,563
ConcreteAE,ColonCancer,19,0.7743589743589744,328,563
ConcreteAE,ColonCancer,20,0.7910256410256411,345,563
ConcreteAE,ColonCancer,21,0.8217948717948719,343,563
ConcreteAE,ColonCancer,22,0.7756410256410257,321,563
ConcreteAE,ColonCancer,23,0.7871794871794873,305,563
