algorithm,dataset,run_id,heldout_accuracy,train_cv_fitness,n_selected_features,n_total_features,runtime_seconds
RG-SCSO,BreastEW,3,0.948905109489051,0.027976554536187512,4,9,406.1183567501139
RG-SCSO,BreastEW,4,0.9708029197080292,0.032720693170234516,5,9,406.71608679089695
RG-SCSO,BreastEW,7,0.9343065693430657,0.028665443425076525,3,9,407.01920216716826
RG-SCSO,BreastEW,6,0.9635036496350365,0.026598776758409708,6,9,407.4334707921371
RG-SCSO,BreastEW,1,0.9635036496350365,0.03273720693170245,5,9,408.4991730831098
RG-SCSO,BreastEW,5,0.9708029197080292,0.03090417940876646,5,9,408.47982670902275
RG-SCSO,BreastEW,0,0.948905109489051,0.029087665647298623,5,9,409.94403104204684
RG-SCSO,BreastEW,2,0.9562043795620438,0.022965749235474044,6,9,410.39908962487243
RG-SCSO,BreastEW,8,0.948905109489051,0.02980958205912328,4,9,503.4042383339256
RG-SCSO,BreastEW,9,0.9635036496350365,0.029842609582059258,4,9,503.4120832500048
RG-SCSO,BreastEW,11,0.9781021897810219,0.033881345565749316,6,9,505.77224595914595
RG-SCSO,BreastEW,14,0.9635036496350365,0.030248318042813423,6,9,503.51103370799683
RG-SCSO,BreastEW,12,0.9854014598540146,0.032015290519877566,6,9,504.97002825001255
RG-SCSO,BreastEW,13,0.9708029197080292,0.03092069317023439,5,9,505.0315972920507
RG-SCSO,BreastEW,10,0.9562043795620438,0.029120693170234493,5,9,508.4226582918782
RG-SCSO,BreastEW,15,0.9635036496350365,0.030215290519877445,6,9,505.81356470892206
RG-SCSO,BreastEW,16,0.9562043795620438,0.03164260958205916,4,9,460.41329112509266
RG-SCSO,BreastEW,17,0.9708029197080292,0.030281345565749178,6,9,460.9234079171438
RG-SCSO,BreastEW,19,0.9635036496350365,0.03344260958205895,4,9,459.2491764589213
RG-SCSO,BreastEW,21,0.9635036496350365,0.027304179408766435,5,9,459.981617833022
RG-SCSO,BreastEW,20,0.948905109489051,0.02732069317023448,5,9,460.2936190830078
RG-SCSO,BreastEW,18,0.9927007299270073,0.033881345565749316,6,9,463.02082958305255
RG-SCSO,BreastEW,22,0.9781021897810219,0.02841529051987777,6,9,464.6619076670613
RG-SCSO,BreastEW,23,0.9708029197080292,0.0284483180428133,6,9,464.96280170814134
