algorithm,dataset,metric,mean,std,best,worst
AOA,BreastEW,heldout_accuracy,0.9678832116788321,0.013002811888941517,1.0,0.9416058394160584
AOA,BreastEW,n_selected_features,8.733333333333333,0.5734883511361751,9.0,7.0
AOA,BreastEW,train_cv_fitness,0.043848657832144,0.004860890285859697,0.0342705402650356,0.0578852191641181
COA,BreastEW,heldout_accuracy,0.9486618004866181,0.024823480987803338,0.978102189781022,0.8832116788321168
COA,BreastEW,n_selected_features,4.666666666666667,1.7575235101952091,9.0,2.0
COA,BreastEW,train_cv_fitness,0.05286757050628602,0.016075302952810903,0.0345537206931702,0.0983488277268092
GWO,BreastEW,heldout_accuracy,0.951094890510949,0.01589722260235492,0.978102189781022,0.927007299270073
GWO,BreastEW,n_selected_features,4.133333333333334,1.2840906856172147,7.0,2.0
GWO,BreastEW,train_cv_fitness,0.05361039075773016,0.012974088151676721,0.0320483180428135,0.0995094801223242
PSO,BreastEW,heldout_accuracy,0.9428223844282239,0.0402490750421339,0.9854014598540146,0.7664233576642335
PSO,BreastEW,n_selected_features,4.8,1.5790292376436015,7.0,1.0
PSO,BreastEW,train_cv_fitness,0.05688599388379198,0.03049257400408629,0.0349594291539246,0.2059643221202853
RG-SCSO,BreastEW,heldout_accuracy,0.9630170316301704,0.013450389256530686,0.9927007299270072,0.9343065693430656
RG-SCSO,BreastEW,n_selected_features,5.233333333333333,0.8439325934114775,6.0,3.0
RG-SCSO,BreastEW,train_cv_fitness,0.02992215426435603,0.0025722041341631357,0.022965749235474,0.0338813455657493
RIME,BreastEW,heldout_accuracy,0.9520681265206812,0.020618194941489452,0.978102189781022,0.8832116788321168
RIME,BreastEW,n_selected_features,3.933333333333333,1.412641340027806,8.0,1.0
RIME,BreastEW,train_cv_fitness,0.055129269452939125,0.016922548154860623,0.0327537206931701,0.1109653414882772
SCSO,BreastEW,heldout_accuracy,0.9508515815085158,0.019489035907056734,0.9854014598540146,0.8978102189781022
SCSO,BreastEW,n_selected_features,4.433333333333334,1.1455226851626388,7.0,2.0
SCSO,BreastEW,train_cv_fitness,0.046372714916751545,0.013196491214332983,0.0291041794087665,0.0836515800203873
AOA,ColonCancer,heldout_accuracy,0.741025641025641,0.09624781732883828,0.9230769230769232,0.6153846153846154
AOA,ColonCancer,n_selected_features,1958.2333333333333,149.58713922734876,2000.0,1190.0
AOA,ColonCancer,train_cv_fitness,0.2579511666666666,0.05622472559119839,0.1486,0.372995
COA,ColonCancer,heldout_accuracy,0.7205128205128205,0.15949047733419475,0.9230769230769232,0.0
COA,ColonCancer,n_selected_features,484.3,256.1109329958407,998.0,0.0
COA,ColonCancer,train_cv_fitness,0.2653615,0.14705822497767113,0.1442999999999998,1.0
GWO,ColonCancer,heldout_accuracy,0.7512820512820514,0.08584958483478569,0.9230769230769232,0.6153846153846154
GWO,ColonCancer,n_selected_features,1007.0,18.875027593798816,1037.0,974.0
GWO,ColonCancer,train_cv_fitness,0.26148166666666667,0.0598429889702118,0.148085,0.3901200000000001
PSO,ColonCancer,heldout_accuracy,0.7333333333333333,0.11188422681677657,0.9230769230769232,0.4615384615384615
PSO,ColonCancer,n_selected_features,1006.5666666666667,21.061312610777346,1055.0,961.0
PSO,ColonCancer,train_cv_fitness,0.25612616666666665,0.062352290384066006,0.143575,0.365845
RG-SCSO,ColonCancer,heldout_accuracy,0.7615384615384616,0.09389658165949005,0.9230769230769232,0.5384615384615384
RG-SCSO,ColonCancer,n_selected_features,555.0666666666667,20.44656993782141,597.0,517.0
RG-SCSO,ColonCancer,train_cv_fitness,0.13660866666666663,0.041254290906792015,0.0620349999999999,0.242685
RIME,ColonCancer,heldout_accuracy,0.7307692307692307,0.08826622809260773,0.9230769230769232,0.6153846153846154
RIME,ColonCancer,n_selected_features,999.3333333333334,23.92674003889558,1063.0,943.0
RIME,ColonCancer,train_cv_fitness,0.25132333333333334,0.060145327157551415,0.1282949999999999,0.4075350000000001
SCSO,ColonCancer,heldout_accuracy,0.741025641025641,0.0853888502838293,0.8461538461538461,0.5384615384615384
SCSO,ColonCancer,n_selected_features,1002.3333333333334,26.672499362118696,1041.0,930.0
SCSO,ColonCancer,train_cv_fitness,0.24833166666666665,0.053119334699230664,0.1234499999999998,0.36799
AOA,Diabetes,heldout_accuracy,0.7279220779220779,0.03230913743915458,0.7792207792207793,0.6363636363636364
AOA,Diabetes,n_selected_features,7.433333333333334,0.9195409482755814,8.0,4.0
AOA,Diabetes,train_cv_fitness,0.28016787618286015,0.029470230916114913,0.2392617952818871,0.3823162734906037
COA,Diabetes,heldout_accuracy,0.7,0.052764152329671306,0.8311688311688312,0.5974025974025974
COA,Diabetes,n_selected_features,4.733333333333333,1.6519348924485155,8.0,2.0
COA,Diabetes,train_cv_fitness,0.31026964547514324,0.038076660354933935,0.2355381847261095,0.3823162734906037
GWO,Diabetes,heldout_accuracy,0.6707792207792208,0.05389088797584623,0.7727272727272727,0.6038961038961039
GWO,Diabetes,n_selected_features,3.933333333333333,1.6719914938645937,7.0,1.0
GWO,Diabetes,train_cv_fitness,0.33233182060509125,0.0377414147912056,0.2525259896041583,0.3823162734906037
PSO,Diabetes,heldout_accuracy,0.6694805194805195,0.041387296406233086,0.7662337662337663,0.6103896103896104
PSO,Diabetes,n_selected_features,3.8666666666666667,1.1175369742826806,6.0,2.0
PSO,Diabetes,train_cv_fitness,0.32897751566040245,0.04032623125203049,0.2452363054778089,0.4197531987205118
RG-SCSO,Diabetes,heldout_accuracy,0.722943722943723,0.030793799556326832,0.7987012987012987,0.6623376623376623
RG-SCSO,Diabetes,n_selected_features,4.6,1.2543258481484518,7.0,2.0
RG-SCSO,Diabetes,train_cv_fitness,0.23831093562574962,0.01031607680021164,0.2155411835265894,0.2549872051179527
RIME,Diabetes,heldout_accuracy,0.6883116883116883,0.05443195778008626,0.8051948051948052,0.5909090909090909
RIME,Diabetes,n_selected_features,3.3666666666666667,1.0482790129010924,6.0,2.0
RIME,Diabetes,train_cv_fitness,0.3176942589630814,0.03956193821770753,0.2423765493802479,0.3951283486605358
SCSO,Diabetes,heldout_accuracy,0.703030303030303,0.06033333814782458,0.8311688311688312,0.564935064935065
SCSO,Diabetes,n_selected_features,4.1,1.3988090172238192,7.0,1.0
SCSO,Diabetes,train_cv_fitness,0.3003014894042383,0.03849137360692799,0.242547281087565,0.3823162734906037
AOA,GermanCredit,heldout_accuracy,0.7353333333333333,0.026923760675078245,0.795,0.675
AOA,GermanCredit,n_selected_features,19.866666666666667,0.42687494916218993,20.0,18.0
AOA,GermanCredit,train_cv_fitness,0.2692720833333333,0.010491864746938731,0.2508125000000001,0.2916499999999999
COA,GermanCredit,heldout_accuracy,0.6831666666666667,0.12907674289179888,0.75,0.0
COA,GermanCredit,n_selected_features,10.833333333333334,3.307399112427904,18.0,0.0
COA,GermanCredit,train_cv_fitness,0.31277374999999996,0.12930099019785515,0.2450749999999999,1.0
GWO,GermanCredit,heldout_accuracy,0.6948333333333333,0.037671459872015686,0.78,0.63
GWO,GermanCredit,n_selected_features,9.733333333333333,1.6719914938645937,13.0,6.0
GWO,GermanCredit,train_cv_fitness,0.3075591666666666,0.02500069101822766,0.2656124999999999,0.3455499999999999
PSO,GermanCredit,heldout_accuracy,0.6980000000000001,0.03593048844644335,0.75,0.62
PSO,GermanCredit,n_selected_features,10.466666666666667,2.404625172916191,15.0,5.0
PSO,GermanCredit,train_cv_fitness,0.2997583333333333,0.017650973572456426,0.266375,0.3391
RG-SCSO,GermanCredit,heldout_accuracy,0.7260000000000001,0.028763402673072844,0.805,0.675
RG-SCSO,GermanCredit,n_selected_features,8.433333333333334,1.6669999666733317,12.0,6.0
RG-SCSO,GermanCredit,train_cv_fitness,0.23814541666666664,0.00822177588995967,0.2210625,0.2557125
RIME,GermanCredit,heldout_accuracy,0.7048333333333333,0.027339938226379035,0.75,0.64
RIME,GermanCredit,n_selected_features,9.833333333333334,2.1304668241699725,14.0,6.0
RIME,GermanCredit,train_cv_fitness,0.2923466666666667,0.020799810929963337,0.2567124999999999,0.3334125
SCSO,GermanCredit,heldout_accuracy,0.7038333333333333,0.04310226856623158,0.775,0.565
SCSO,GermanCredit,n_selected_features,10.033333333333333,2.213343373471204,16.0,6.0
SCSO,GermanCredit,train_cv_fitness,0.29393166666666665,0.02783610622415106,0.244575,0.3455499999999999
AOA,HeartDisease,heldout_accuracy,0.8261111111111111,0.05012638348203123,0.9166666666666666,0.6833333333333333
AOA,HeartDisease,n_selected_features,12.833333333333334,0.37267799624996495,13.0,12.0
AOA,HeartDisease,train_cv_fitness,0.19224945444626293,0.02198765527278002,0.1556037234042553,0.2314335106382978
COA,HeartDisease,heldout_accuracy,0.7833333333333333,0.0626572096883186,0.9,0.6666666666666666
COA,HeartDisease,n_selected_features,6.8,1.7776388834631178,11.0,4.0
COA,HeartDisease,train_cv_fitness,0.22167624795417346,0.035573516969218615,0.1633168985270048,0.3292152209492634
GWO,HeartDisease,heldout_accuracy,0.7566666666666666,0.06866450913546834,0.8666666666666667,0.5333333333333333
GWO,HeartDisease,n_selected_features,6.266666666666667,1.7113996870657915,9.0,3.0
GWO,HeartDisease,train_cv_fitness,0.25683460856519363,0.04990741364901929,0.1735906301145661,0.3788029869067102
PSO,HeartDisease,heldout_accuracy,0.7366666666666667,0.07358542528799311,0.85,0.5833333333333334
PSO,HeartDisease,n_selected_features,6.566666666666666,1.8015425489162213,10.0,4.0
PSO,HeartDisease,train_cv_fitness,0.2519135160938352,0.05255966380348512,0.1738539279869065,0.3710795826513912
RG-SCSO,HeartDisease,heldout_accuracy,0.8088888888888889,0.04669311419877932,0.9,0.7333333333333333
RG-SCSO,HeartDisease,n_selected_features,5.933333333333334,1.5040685563571303,9.0,3.0
RG-SCSO,HeartDisease,train_cv_fitness,0.1526223472449536,0.011123648165306107,0.1259750409165303,0.1713036006546646
RIME,HeartDisease,heldout_accuracy,0.7633333333333333,0.05922336876105081,0.8666666666666667,0.6166666666666667
RIME,HeartDisease,n_selected_features,6.333333333333333,1.920648038785058,11.0,3.0
RIME,HeartDisease,train_cv_fitness,0.24746567785051826,0.04021507473609886,0.1838179214402618,0.3879099836333878
SCSO,HeartDisease,heldout_accuracy,0.7661111111111112,0.06302311941063307,0.9,0.6
SCSO,HeartDisease,n_selected_features,6.633333333333334,2.0245712852080286,12.0,3.0
SCSO,HeartDisease,train_cv_fitness,0.22938554282596832,0.048544581567548525,0.1419020049099836,0.3277438625204582
AOA,IonosphereEW,heldout_accuracy,0.8417840375586855,0.04076945134340747,0.9154929577464788,0.7323943661971831
AOA,IonosphereEW,n_selected_features,33.93333333333333,0.24944382578492943,34.0,33.0
AOA,IonosphereEW,train_cv_fitness,0.17061967787114843,0.016076024246199132,0.13375,0.2115357142857143
COA,IonosphereEW,heldout_accuracy,0.8507042253521127,0.042347313741895515,0.9295774647887324,0.7464788732394366
COA,IonosphereEW,n_selected_features,11.033333333333333,5.879247873287497,21.0,1.0
COA,IonosphereEW,train_cv_fitness,0.14703081232492993,0.019582122784179035,0.104300420168067,0.1915105042016806
GWO,IonosphereEW,heldout_accuracy,0.8384976525821596,0.040451942213216935,0.9014084507042254,0.7464788732394366
GWO,IonosphereEW,n_selected_features,16.5,3.2939338184001206,24.0,11.0
GWO,IonosphereEW,train_cv_fitness,0.16325294117647057,0.021953006142071366,0.1001701680672267,0.2077121848739495
PSO,IonosphereEW,heldout_accuracy,0.8417840375586855,0.04157249822960164,0.9154929577464788,0.7464788732394366
PSO,IonosphereEW,n_selected_features,16.633333333333333,2.6768555350551804,21.0,10.0
PSO,IonosphereEW,train_cv_fitness,0.16494215686274505,0.018124777897493113,0.1266911764705882,0.2071239495798318
RG-SCSO,IonosphereEW,heldout_accuracy,0.8863849765258216,0.03486844061526223,0.943661971830986,0.7605633802816901
RG-SCSO,IonosphereEW,n_selected_features,7.966666666666667,2.857543622686372,20.0,5.0
RG-SCSO,IonosphereEW,train_cv_fitness,0.09108956582633045,0.008730612783876615,0.0662899159663865,0.1084243697478991
RIME,IonosphereEW,heldout_accuracy,0.8530516431924883,0.03594233247966799,0.9014084507042254,0.7464788732394366
RIME,IonosphereEW,n_selected_features,15.766666666666667,2.603629944690468,22.0,11.0
RIME,IonosphereEW,train_cv_fitness,0.15349082633053218,0.018113696106937045,0.1210903361344538,0.1879747899159664
SCSO,IonosphereEW,heldout_accuracy,0.8549295774647887,0.04100664174330073,0.943661971830986,0.7605633802816901
SCSO,IonosphereEW,n_selected_features,16.466666666666665,3.6030850978324427,27.0,11.0
SCSO,IonosphereEW,train_cv_fitness,0.14697885154061618,0.020916952740706284,0.1113655462184873,0.2047647058823529
AOA,KrVsKpEW,heldout_accuracy,0.9288541666666668,0.01622159643722597,0.9484375,0.8609375
AOA,KrVsKpEW,n_selected_features,34.96666666666667,0.17950549357115014,35.0,34.0
AOA,KrVsKpEW,train_cv_fitness,0.09211609308749182,0.012782293994321993,0.0824352219911937,0.1576724253913895
COA,KrVsKpEW,heldout_accuracy,0.8353645833333334,0.0943345347621152,0.9578125,0.6015625
COA,KrVsKpEW,n_selected_features,17.3,3.8397048497681867,29.0,11.0
COA,KrVsKpEW,train_cv_fitness,0.16918077146526417,0.09005013550467855,0.0624642627813111,0.3900735078277885
GWO,KrVsKpEW,heldout_accuracy,0.71203125,0.07283680522450514,0.946875,0.5859375
GWO,KrVsKpEW,n_selected_features,17.2,3.4292856398964493,24.0,9.0
GWO,KrVsKpEW,train_cv_fitness,0.29273517688967704,0.06928415207081794,0.0870290102128179,0.4317134524828767
PSO,KrVsKpEW,heldout_accuracy,0.79078125,0.11258196522191805,0.9453125,0.6171875
PSO,KrVsKpEW,n_selected_features,17.133333333333333,2.765662468358872,22.0,9.0
PSO,KrVsKpEW,train_cv_fitness,0.21610227622513045,0.11359657975569327,0.0627484634907045,0.3793810084393347
RG-SCSO,KrVsKpEW,heldout_accuracy,0.9518229166666666,0.009496464300011295,0.975,0.928125
RG-SCSO,KrVsKpEW,n_selected_features,12.233333333333333,1.9439364415764444,16.0,9.0
RG-SCSO,KrVsKpEW,train_cv_fitness,0.04852670672292888,0.004455319122256234,0.0401368792808218,0.056184732754403
RIME,KrVsKpEW,heldout_accuracy,0.78078125,0.10180272071665128,0.94375,0.5953125
RIME,KrVsKpEW,n_selected_features,16.4,3.1262330900515614,23.0,9.0
