group,compared_with,p_value,RG-SCSO_mean,other_mean,cohens_d,rank_biserial_r,p_value_holm,mark
BreastEW,AOA,0.007995207475754494,0.9630170316301705,0.9678832116788322,-0.5043668951391247,-0.6493506493506493,0.02398562242726348,-
BreastEW,COA,0.03793566719386784,0.9630170316301705,0.9486618004866181,0.4965236809518389,0.46438746438746437,0.0462730647722828,+
BreastEW,GWO,0.0003233751719160205,0.9630170316301705,0.9510948905109491,0.9122422752133892,0.8215384615384616,0.001940251031496123,+
BreastEW,PSO,0.0006018464344174986,0.9630170316301705,0.9428223844282239,0.4689552015910042,0.83399209486166,0.003009232172087493,+
BreastEW,RIME,0.0231365323861414,0.9630170316301705,0.9520681265206813,0.45915564848044954,0.5398550724637681,0.0462730647722828,+
BreastEW,SCSO,0.002664662480919028,0.9630170316301705,0.9508515815085159,0.5809675356398244,0.7,0.010658649923676112,+
ColonCancer,AOA,0.17203572724724203,0.7615384615384617,0.7410256410256414,0.3070976116635081,0.36257309941520466,0.5161071817417261,=
ColonCancer,COA,0.26996961011440657,0.7615384615384617,0.7205128205128207,0.2745091215527672,0.2608695652173913,0.5399392202288131,=
ColonCancer,GWO,0.7389895827505906,0.7615384615384617,0.7512820512820516,0.128000706212741,0.0915032679738562,0.7389895827505906,=
ColonCancer,PSO,0.07040504633143728,0.7615384615384617,0.7333333333333336,0.3668775764722389,0.5428571428571428,0.42243027798862365,=
ColonCancer,RIME,0.09134661651892408,0.7615384615384617,0.730769230769231,0.37384359850688664,0.4502923976608187,0.4334146153646395,=
ColonCancer,SCSO,0.0866829230729279,0.7615384615384617,0.7410256410256413,0.2939489054779036,0.5512820512820513,0.4334146153646395,=
Diabetes,AOA,0.4557568162937875,0.7229437229437227,0.7279220779220779,-0.12384454925975652,-0.164021164021164,0.4557568162937875,=
Diabetes,COA,0.09792505120648341,0.7229437229437227,0.7000000000000001,0.35496090889114407,0.35172413793103446,0.19585010241296683,=
Diabetes,GWO,8.872826834544846e-05,0.7229437229437227,0.6707792207792208,0.9402379514541104,0.8193548387096774,0.0004436413417272423,+
Diabetes,PSO,6.631375777941557e-05,0.7229437229437227,0.6694805194805195,1.0371984239796515,0.8620689655172413,0.00039788254667649336,+
Diabetes,RIME,0.0040943204575603276,0.7229437229437227,0.6883116883116883,0.5888855985092005,0.6,0.01637728183024131,+
Diabetes,SCSO,0.056945424459700265,0.7229437229437227,0.7030303030303031,0.3219093786149431,0.3978494623655914,0.1708362733791008,=
GermanCredit,AOA,0.2099552642111695,0.7260000000000001,0.7353333333333332,-0.25309622975976803,-0.270935960591133,0.2099552642111695,=
GermanCredit,COA,0.002922056853680152,0.7260000000000001,0.6831666666666667,0.2922652801649144,0.6428571428571429,0.01461028426840076,+
GermanCredit,GWO,0.0007791653374667041,0.7260000000000001,0.6948333333333333,0.7386194997832057,0.7266009852216748,0.004674992024800225,+
GermanCredit,PSO,0.006004332101049354,0.7260000000000001,0.698,0.5819674659178649,0.5741935483870968,0.024017328404197416,+
GermanCredit,RIME,0.01370268238926299,0.7260000000000001,0.7048333333333332,0.5083184122225776,0.5423280423280423,0.04110804716778897,+
GermanCredit,SCSO,0.03314668083997599,0.7260000000000001,0.7038333333333333,0.41154107795115974,0.4605911330049261,0.06629336167995198,=
HeartDisease,AOA,0.08116167136338469,0.808888888888889,0.826111111111111,-0.3457940408471109,-0.3903133903133903,0.08116167136338469,=
HeartDisease,COA,0.02155160710167289,0.808888888888889,0.7833333333333333,0.47557161614385135,0.48735632183908045,0.04310321420334578,+
HeartDisease,GWO,0.00048087461787880254,0.808888888888889,0.7566666666666667,0.7626829492203873,0.7671957671957672,0.0024043730893940126,+
HeartDisease,PSO,8.579907287866386e-05,0.808888888888889,0.7366666666666667,0.9521477173315498,0.8344827586206897,0.0005147944372719832,+
HeartDisease,RIME,0.0006472836715701075,0.808888888888889,0.7633333333333334,0.7512792532627289,0.7784615384615384,0.00258913468628043,+
HeartDisease,SCSO,0.0013925396510254468,0.808888888888889,0.7661111111111112,0.6463030636428202,0.6896551724137931,0.00417761895307634,+
IonosphereEW,AOA,3.9965073922651665e-05,0.8863849765258215,0.8417840375586855,1.018809809785307,0.9782608695652174,0.00019982536961325834,+
IonosphereEW,COA,0.0004887599103224827,0.8863849765258215,0.8507042253521125,0.8249718659170677,0.7402298850574712,0.001466279730967448,+
IonosphereEW,GWO,0.00014005909272686337,0.8863849765258215,0.8384976525821597,0.9377810876268494,0.7956989247311828,0.0005602363709074535,+
IonosphereEW,PSO,2.615451465700267e-05,0.8863849765258215,0.8417840375586854,1.041355350206135,0.9088669950738916,0.00015692708794201604,+
IonosphereEW,RIME,0.0009524534317716858,0.8863849765258215,0.8530516431924883,0.8244558997129202,0.7011494252873564,0.0019049068635433716,+
