algorithm,dataset,run_id,outer_fold,mean_nested_cv_accuracy,std_nested_cv_accuracy,mean_n_selected_features,n_total_features
RG-SCSO,Zoo,3,5,0.9604761904761905,0.01978340769318191,9.0,16
RG-SCSO,Zoo,2,5,0.9609523809523809,0.03590741432668353,8.2,16
RG-SCSO,Zoo,0,5,0.9404761904761905,0.049096138738217165,8.0,16
RG-SCSO,Zoo,1,5,0.9399999999999998,0.05830951894845301,9.0,16
RG-SCSO,Zoo,4,5,0.940952380952381,0.04824352435014834,8.2,16
RG-SCSO,WDBC,3,5,0.9613724576929048,0.02188250855340441,10.4,30
RG-SCSO,WDBC,0,5,0.9578481602235678,0.02101787651831354,11.2,30
RG-SCSO,WDBC,2,5,0.9701133364384413,0.008982970366192411,11.8,30
RG-SCSO,WDBC,4,5,0.9595714951094549,0.01192270461131276,10.2,30
RG-SCSO,WDBC,1,5,0.9560937742586555,0.011022214603414314,12.4,30
SCSO,Zoo,0,5,0.891904761904762,0.055422516442310554,8.2,16
SCSO,Zoo,1,5,0.8214285714285714,0.04115674368825122,7.6,16
SCSO,Zoo,2,5,0.8823809523809525,0.07073632813423264,7.0,16
SCSO,Zoo,3,5,0.8314285714285715,0.051626602855979,8.4,16
SCSO,Zoo,4,5,0.8604761904761904,0.08053956366403248,7.8,16
RG-SCSO,ColonCancer,1,5,0.7423076923076923,0.07358125565272686,536.8,2000
RG-SCSO,ColonCancer,2,5,0.8538461538461538,0.09775588482414488,547.6,2000
RG-SCSO,ColonCancer,0,5,0.7717948717948718,0.06791242378537964,561.2,2000
SCSO,WDBC,0,5,0.9560627231796305,0.01664429074749122,16.2,30
SCSO,WDBC,1,5,0.956078248719143,0.02351473018484404,15.4,30
SCSO,WDBC,2,5,0.95954044403043,0.012091534974202052,14.2,30
RG-SCSO,ColonCancer,3,5,0.7897435897435898,0.11332927246466443,553.6,2000
RG-SCSO,ColonCancer,4,5,0.8346153846153846,0.11878189560923559,547.0,2000
AOA,Zoo,0,5,0.940952380952381,0.03643401764454965,15.8,16
AOA,Zoo,1,5,0.9399999999999998,0.05830951894845301,15.8,16
AOA,Zoo,2,5,0.9414285714285715,0.046379094516422664,16.0,16
AOA,Zoo,3,5,0.9414285714285715,0.046379094516422664,14.6,16
SCSO,WDBC,3,5,0.9438130725042695,0.02039168356400082,13.8,30
AOA,Zoo,4,5,0.940952380952381,0.03643401764454965,16.0,16
SCSO,WDBC,4,5,0.9402577239559073,0.006466643475788868,15.8,30
SCSO,ColonCancer,0,5,0.8038461538461539,0.08785559845647087,1004.2,2000
SCSO,ColonCancer,1,5,0.7423076923076923,0.07358125565272686,1001.2,2000
SCSO,ColonCancer,2,5,0.7897435897435897,0.0853695990491615,1001.2,2000
SCSO,ColonCancer,3,5,0.7243589743589742,0.06808163101206029,1004.0,2000
SCSO,ColonCancer,4,5,0.7730769230769231,0.06456245288212396,989.4,2000
AOA,WDBC,0,5,0.9630957925787922,0.01788563714959112,30.0,30
AOA,WDBC,1,5,0.9648657040832168,0.012372754323960556,29.6,30
AOA,WDBC,2,5,0.9665735134295919,0.01303207904938907,30.0,30
AOA,WDBC,3,5,0.9666356155876418,0.02312082818808832,29.8,30
AOA,WDBC,4,5,0.956047197640118,0.015744795537888386,25.8,30
AOA,ColonCancer,2,5,0.8205128205128205,0.0990586860106762,1946.4,2000
AOA,ColonCancer,1,5,0.7102564102564102,0.05922466391000563,1994.2,2000
AOA,ColonCancer,0,5,0.7871794871794873,0.11576859187148009,1999.6,2000
AOA,ColonCancer,3,5,0.7576923076923078,0.10386989282322612,1990.4,2000
AOA,ColonCancer,4,5,0.7897435897435897,0.0853695990491615,1994.6,2000
