algorithm,dataset,run_id,fitness,accuracy,n_selected_features,n_total_features,runtime_seconds
RG-SCSO,Leukemia,1,0.01673316798015757,0.9857142857142858,925,3571,454.3439981659176
RG-SCSO,Leukemia,6,0.01586591991038922,0.9866666666666667,952,3571,455.1172137079993
RG-SCSO,Leukemia,7,0.01668836260351237,0.9857142857142858,909,3571,455.9969203749206
RG-SCSO,Leukemia,2,0.016772372684722116,0.9857142857142858,939,3571,456.7925520419376
RG-SCSO,Leukemia,0,0.016721966635996267,0.9857142857142858,921,3571,456.73580033308826
RG-SCSO,Leukemia,3,0.015837916549985974,0.9866666666666667,942,3571,456.7917790419888
RG-SCSO,Leukemia,4,0.016724766972036596,0.9857142857142858,922,3571,457.15578483301215
RG-SCSO,Leukemia,5,0.015790310837300453,0.9866666666666667,925,3571,457.5002655000426
RG-SCSO,ColonCancer,0,0.11592653846153839,0.885897435897436,593,2000,414.0151100830408
RG-SCSO,ColonCancer,3,0.12854884615384626,0.873076923076923,579,2000,413.68161779199727
RG-SCSO,ColonCancer,1,0.162638076923077,0.8384615384615384,543,2000,414.2042070409516
RG-SCSO,ColonCancer,4,0.08400076923076916,0.917948717948718,554,2000,414.1987724590581
RG-SCSO,ColonCancer,2,0.09934653846153844,0.9025641025641026,577,2000,414.5895941249328
RG-SCSO,ColonCancer,5,0.14613307692307695,0.8551282051282051,542,2000,414.6877089170739
RG-SCSO,Leukemia,8,0.015815513861663376,0.9866666666666667,934,3571,425.0013158340007
RG-SCSO,Leukemia,9,0.015846317558106948,0.9866666666666667,945,3571,425.33806083293166
RG-SCSO,Sonar,3,0.09270963995354245,0.9087108013937282,14,60,309.35982666700147
RG-SCSO,Sonar,1,0.09326132404181188,0.9088269454123112,18,60,319.9018234999385
RG-SCSO,Sonar,0,0.11774099883855986,0.8844367015098722,20,60,322.0179231670918
RG-SCSO,Sonar,2,0.11246341463414637,0.8894308943089431,18,60,324.37601512495894
RG-SCSO,ColonCancer,6,0.11436230769230762,0.8871794871794872,534,2000,413.6073528750567
RG-SCSO,ColonCancer,7,0.09662307692307691,0.9051282051282051,540,2000,413.8045055420371
RG-SCSO,ColonCancer,8,0.09806230769230768,0.9038461538461539,574,2000,414.23254775011446
RG-SCSO,ColonCancer,9,0.11313307692307686,0.8884615384615385,542,2000,414.5188570419559
RG-SCSO,Sonar,4,0.11269337979094084,0.8891986062717769,18,60,304.4648217919748
RG-SCSO,Sonar,7,0.1258763066202091,0.8753774680603948,15,60,304.2196005830774
RG-SCSO,Sonar,6,0.1054947735191639,0.8984901277584203,30,60,323.3148503329139
RG-SCSO,Sonar,5,0.10874912891986067,0.8941927990708478,24,60,332.49407687492203
RG-SCSO,WDBC,1,0.023120633442012123,0.9806862288464524,12,30,289.4823433330748
RG-SCSO,Sonar,9,0.08344773519163771,0.9182346109175377,15,60,310.21760770806577
RG-SCSO,Sonar,8,0.10781242740998846,0.8939605110336817,17,60,331.86048787494656
RG-SCSO,WDBC,0,0.025206179164726058,0.9789163173420276,13,30,345.75021104107145
RG-SCSO,WDBC,2,0.02381804067691355,0.9806551777674274,14,30,352.5918083329452
RG-SCSO,WDBC,3,0.021368421052631523,0.9824561403508772,12,30,344.0376635410357
RG-SCSO,WDBC,5,0.021399161620866504,0.982425089271852,12,30,355.8700383329997
RG-SCSO,WDBC,4,0.026276354603322442,0.9771619313771154,11,30,364.3861905420199
