algorithm,dataset,run_id,fitness,accuracy,n_selected_features,n_total_features,runtime_seconds
bSCSO-S,BreastEW,7,0.029432946901388344,0.9736367539716616,3,9,376.5767802919727
bSCSO-S,BreastEW,3,0.030565311769476605,0.9736152855302705,4,9,381.0742247919552
bSCSO-S,BreastEW,4,0.030178033013692027,0.975128810648347,5,9,381.18021291703917
bSCSO-S,BreastEW,0,0.028764658174705374,0.9765564620008588,5,9,384.6348158749752
bSCSO-S,BreastEW,1,0.02799831830542443,0.9750858737655645,3,9,385.15834541711956
bSCSO-S,BreastEW,5,0.031310397881780395,0.9751073422069558,6,9,385.50406350009143
bSCSO-S,BreastEW,2,0.031331651638757764,0.9750858737655645,6,9,385.7245409579482
bSCSO-S,BreastEW,6,0.029454200658365494,0.9736152855302705,3,9,389.4660345830489
bSCSO-S,BreastEW,8,0.030533431134010882,0.9736474881923571,4,9,389.59999091597274
bSCSO-S,BreastEW,10,0.03087820237584083,0.9721768999570631,3,9,391.8041830000002
bSCSO-S,BreastEW,9,0.030199286770669284,0.9751073422069558,5,9,393.79669449990615
bSCSO-S,BreastEW,14,0.030512177377033513,0.9736689566337484,4,9,389.6124393751379
bSCSO-S,BreastEW,13,0.029390439387433825,0.973679690854444,3,9,389.8571029580198
bSCSO-S,BreastEW,12,0.028008945183912896,0.9750751395448691,3,9,392.5615964999888
bSCSO-S,BreastEW,11,0.031602034731167364,0.9736904250751396,5,9,393.36627466697246
bSCSO-S,BreastEW,15,0.030888829254329404,0.9721661657363676,3,9,396.13250091602094
bSCSO-S,BreastEW,16,0.03164454224512199,0.9736474881923571,5,9,388.9065334580373
bSCSO-S,BreastEW,21,0.03018865989218071,0.9751180764276514,5,9,382.09331866702996
bSCSO-S,BreastEW,17,0.029886396164305058,0.9765457277801632,6,9,390.36228408291936
bSCSO-S,BreastEW,18,0.03053343113401066,0.9736474881923574,4,9,389.26733604213223
bSCSO-S,BreastEW,19,0.030220540527646653,0.9750858737655645,5,9,390.72970566595905
bSCSO-S,BreastEW,20,0.03166579600209903,0.9736260197509662,5,9,391.0810381670017
bSCSO-S,BreastEW,22,0.030856948618863574,0.9721983683984543,3,9,389.7974292500876
bSCSO-S,BreastEW,23,0.02954162492247511,0.9780163160154572,7,9,392.2823124169372
bSCSO-S,BreastEW,24,0.032421508992891396,0.9751073422069559,7,9,341.9350740830414
bSCSO-S,BreastEW,25,0.03015677925671477,0.9751502790897382,5,9,340.27222216688097
bSCSO-S,BreastEW,26,0.03164454224512199,0.9736474881923571,5,9,338.9120705840178
bSCSO-S,BreastEW,27,0.0327981608701874,0.973604551309575,6,9,339.9809161250014
bSCSO-S,BreastEW,29,0.0320105672439292,0.972155431515672,4,9,338.57059804117307
bSCSO-S,BreastEW,28,0.03227032345785023,0.9707707170459425,3,9,345.4157938749995
bSCSO-S,ColonCancer,0,0.14960730769230773,0.8538461538461538,983,2000,444.8998740420211
bSCSO-S,ColonCancer,1,0.1979530769230769,0.8051282051282052,1006,2000,441.68120525009
