sweep,value,config_tag,dataset,run_id,fitness,accuracy,n_selected_features,runtime_seconds
gamma,0.0,final,Zoo,3,0.024328571428571404,0.9804761904761905,8,230.33962458302267
gamma,0.0,final,Zoo,7,0.024953571428571512,0.9804761904761904,9,230.23674729187042
gamma,0.0,final,Zoo,4,0.023078571428571514,0.9804761904761904,6,230.38531466689892
gamma,0.0,final,Zoo,1,0.022924999999999907,0.9800000000000001,5,230.66679950011894
gamma,0.0,final,Zoo,6,0.023549999999999908,0.9800000000000001,6,230.63577341707423
gamma,0.0,final,Zoo,2,0.026049999999999907,0.9800000000000001,10,230.79020408401266
gamma,0.0,final,Zoo,5,0.025424999999999906,0.9800000000000001,9,231.02100587519817
gamma,0.0,final,Zoo,0,0.025424999999999906,0.9800000000000001,9,232.1284256670624
gamma,0.0,final,Zoo,9,0.03532500000000002,0.97,9,138.19575783307664
gamma,0.0,final,Zoo,8,0.02417499999999991,0.9800000000000001,7,138.68755454104394
gamma,0.0,final,Sonar,1,0.08954703832752618,0.913588850174216,24,412.979341249913
gamma,0.0,final,Sonar,3,0.10491986062717774,0.8990708478513356,30,413.475971915992
gamma,0.0,final,Sonar,0,0.11906271777003483,0.8847851335656214,30,413.8970053330995
gamma,0.0,final,Sonar,2,0.0940946573751452,0.9088269454123112,23,413.6590856248513
gamma,0.0,final,Sonar,4,0.10867421602787461,0.894773519163763,27,413.7598925840575
gamma,0.0,final,Sonar,5,0.12777293844367013,0.8751451800232288,25,413.55815712502226
gamma,0.0,final,Sonar,7,0.13226887340301982,0.8702671312427409,23,413.8852973750327
gamma,0.0,final,Sonar,6,0.10010220673635317,0.9036004645760742,28,415.8719042921439
gamma,0.0,final,Sonar,8,0.10353484320557498,0.8989547038327526,21,443.84149174997583
gamma,0.0,final,Sonar,9,0.12945121951219515,0.8747967479674796,33,444.2284179169219
gamma,0.0,final,ColonCancer,0,0.14975230769230774,0.8538461538461538,1012,466.861998291919
gamma,0.0,final,ColonCancer,1,0.2117846153846153,0.7910256410256411,980,466.9424169168342
gamma,0.0,final,ColonCancer,2,0.11911576923076915,0.8846153846153847,977,466.90749891707674
gamma,0.0,final,ColonCancer,3,0.1788046153846153,0.8243589743589744,984,467.5848342909012
gamma,0.0,final,ColonCancer,4,0.13420153846153832,0.8692307692307694,948,454.9387779170647
gamma,0.0,final,ColonCancer,5,0.21054538461538452,0.7923076923076924,986,455.93610808299854
gamma,0.25,final,Zoo,0,0.026049999999999907,0.9800000000000001,10,148.47317195800133
gamma,0.25,final,Zoo,1,0.025424999999999906,0.9800000000000001,9,150.54466787492856
gamma,0.25,final,Zoo,2,0.022924999999999907,0.9800000000000001,5,168.06359275011346
gamma,0.25,final,Zoo,3,0.022453571428571403,0.9804761904761905,5,168.29049070901237
gamma,0.25,final,Zoo,4,0.025578571428571513,0.9804761904761904,10,168.69903979217634
gamma,0.25,final,Zoo,5,0.02417499999999991,0.9800000000000001,7,170.86549470899627
gamma,0.0,final,ColonCancer,6,0.14957230769230773,0.8538461538461538,976,419.1485635410063
gamma,0.0,final,ColonCancer,7,0.13066884615384625,0.873076923076923,1003,420.76411400013603
gamma,0.0,final,ColonCancer,8,0.14586961538461543,0.8576923076923076,997,416.51201633294113
gamma,0.0,final,ColonCancer,9,0.1649480769230769,0.8384615384615385,1005,417.4545628328342
gamma,0.25,final,Zoo,6,0.022924999999999907,0.9800000000000001,5,165.94518762500957
gamma,0.25,final,Zoo,7,0.025578571428571402,0.9804761904761905,10,166.6968274579849
gamma,0.25,final,Zoo,8,0.02479999999999991,0.9800000000000001,8,162.38876779098064
gamma,0.25,final,Zoo,9,0.022924999999999907,0.9800000000000001,5,162.80138279194944
gamma,0.25,final,Sonar,0,0.12189198606271776,0.8799070847851336,18,400.53231112495996
gamma,0.25,final,Sonar,1,0.11296341463414637,0.8894308943089431,21,402.1685571249109
gamma,0.25,final,Sonar,2,0.09303135888501742,0.9090592334494774,18,404.1419935829472
