algorithm,prior_method,dataset,run_id,fitness,accuracy,n_selected_features,n_total_features,runtime_seconds
RG-SCSO-MI,mi,Zoo,3,0.0249535714285714,0.9804761904761905,9,16,178.8402382498607
RG-SCSO-MI,mi,Zoo,4,0.022453571428571514,0.9804761904761904,5,16,179.0958335408941
RG-SCSO-MI,mi,Zoo,7,0.022453571428571403,0.9804761904761905,5,16,179.32743295887485
RG-SCSO-MI,mi,Zoo,6,0.023549999999999908,0.9800000000000001,6,16,179.5710537089035
RG-SCSO-MI,mi,Zoo,1,0.025424999999999906,0.9800000000000001,9,16,179.6951959170401
RG-SCSO-MI,mi,Zoo,2,0.01677500000000001,0.99,11,16,180.44950845791027
RG-SCSO-MI,mi,Zoo,0,0.025424999999999906,0.9800000000000001,9,16,180.5794766251929
RG-SCSO-MI,mi,Zoo,5,0.02417499999999991,0.9800000000000001,7,16,181.2114116246812
RG-SCSO-MI,mi,Zoo,9,0.022924999999999907,0.9800000000000001,5,16,171.3768344577402
RG-SCSO-MI,mi,Zoo,8,0.022924999999999907,0.9800000000000001,5,16,171.90768958302215
RG-SCSO-MI,mi,Zoo,11,0.022924999999999907,0.9800000000000001,5,16,172.04567562509328
RG-SCSO-MI,mi,Zoo,12,0.022924999999999907,0.9800000000000001,5,16,172.63680674973875
RG-SCSO-MI,mi,Zoo,15,0.026049999999999907,0.9800000000000001,10,16,171.20719766709954
RG-SCSO-MI,mi,Zoo,10,0.02479999999999991,0.9800000000000001,8,16,173.38685533311218
RG-SCSO-MI,mi,Zoo,14,0.022924999999999907,0.9800000000000001,5,16,172.41060416726395
RG-SCSO-MI,mi,Zoo,13,0.026049999999999907,0.9800000000000001,10,16,173.97775562526658
RG-SCSO-MI,mi,Zoo,16,0.02417499999999991,0.9800000000000001,7,16,167.66017587529495
RG-SCSO-MI,mi,Zoo,18,0.026049999999999907,0.9800000000000001,10,16,169.43889212515205
RG-SCSO-MI,mi,Zoo,19,0.0329785714285713,0.9704761904761906,6,16,168.3150654998608
RG-SCSO-MI,mi,Zoo,17,0.022924999999999907,0.9800000000000001,5,16,169.9310863749124
RG-SCSO-MI,mi,Zoo,21,0.0323535714285713,0.9704761904761906,5,16,168.64920154213905
RG-SCSO-MI,mi,Zoo,20,0.01490000000000001,0.99,8,16,170.2636947077699
RG-SCSO-MI,mi,Zoo,22,0.022924999999999907,0.9800000000000001,5,16,169.71246333280578
RG-SCSO-MI,mi,Zoo,23,0.026049999999999907,0.9800000000000001,10,16,169.542949042283
RG-SCSO-MI,mi,Zoo,24,0.025424999999999906,0.9800000000000001,9,16,151.00529745779932
RG-SCSO-MI,mi,Zoo,27,0.022453571428571403,0.9804761904761905,5,16,151.08833695808426
RG-SCSO-MI,mi,Zoo,26,0.02417499999999991,0.9800000000000001,7,16,151.59725975012407
RG-SCSO-MI,mi,Zoo,28,0.02417499999999991,0.9800000000000001,7,16,151.57550004171208
RG-SCSO-MI,mi,Zoo,25,0.01615000000000001,0.99,10,16,152.4372651660815
RG-SCSO-MI,mi,Zoo,29,0.01615000000000001,0.99,10,16,151.0393205420114
RG-SCSO-MI,mi,Sonar,0,0.11784436701509873,0.8846689895470383,22,60,343.2446462502703
RG-SCSO-MI,mi,Sonar,1,0.10824912891986067,0.8941927990708478,21,60,341.8784899166785
RG-SCSO-MI,mi,Sonar,4,0.11651103368176541,0.8846689895470383,14,60,278.5076715829782
RG-SCSO-MI,mi,Sonar,2,0.1120150987224158,0.8895470383275261,16,60,313.5877895420417
RG-SCSO-MI,mi,Sonar,6,0.09793554006968651,0.9036004645760742,15,60,330.9681311668828
RG-SCSO-MI,mi,Sonar,5,0.10785249709639953,0.8944250871080139,20,60,342.48584729107097
RG-SCSO-MI,mi,Sonar,7,0.10313821138211383,0.8991869918699187,20,60,341.9649159591645
RG-SCSO-MI,mi,Sonar,3,0.09860220673635317,0.9036004645760742,19,60,346.688808250241
RG-SCSO-MI,mi,Sonar,8,0.0981538908246226,0.9037166085946573,17,60,330.90369575005025
RG-SCSO-MI,mi,Sonar,9,0.1121416957026714,0.8890824622531939,14,60,332.1659234170802
RG-SCSO-MI,mi,Sonar,10,0.10313821138211383,0.8991869918699187,20,60,330.9132288750261
RG-SCSO-MI,mi,Sonar,12,0.10753077816492457,0.8940766550522647,16,60,280.37271004216745
RG-SCSO-MI,mi,Sonar,13,0.11218176538908246,0.8895470383275261,17,60,300.42324466630816
RG-SCSO-MI,mi,Sonar,11,0.10740418118466907,0.8945412311265969,18,60,353.0513697080314
RG-SCSO-MI,mi,Sonar,14,0.1120783972125436,0.88931475029036,15,60,321.41994866589084
RG-SCSO-MI,mi,Sonar,15,0.08859872241579561,0.913704994192799,19,60,340.201837874949
RG-SCSO-MI,mi,Sonar,16,0.11313008130081303,0.8894308943089431,22,60,323.71105783293024
RG-SCSO-MI,mi,Sonar,17,0.11496341463414637,0.8894308943089431,33,60,342.5744381248951
RG-SCSO-MI,mi,Sonar,19,0.1255946573751452,0.8754936120789779,14,60,286.8872887501493
RG-SCSO-MI,mi,Sonar,18,0.09347967479674797,0.9089430894308943,20,60,341.53628570819274
RG-SCSO-MI,mi,Sonar,20,0.10841579558652734,0.8941927990708478,22,60,333.1469388338737
RG-SCSO-MI,mi,Sonar,22,0.11774099883855986,0.8844367015098722,20,60,336.23196512507275
RG-SCSO-MI,mi,Sonar,21,0.1137049941927992,0.8888501742160277,22,60,341.1048360830173
RG-SCSO-MI,mi,Sonar,23,0.11324506387921027,0.88931475029036,22,60,333.3221194171347
RG-SCSO-MI,mi,Sonar,24,0.09836062717770035,0.9041811846689896,21,60,312.6753050829284
RG-SCSO-MI,mi,Sonar,25,0.11206678281068522,0.8896631823461092,17,60,336.5057507911697
RG-SCSO-MI,mi,Sonar,26,0.1073008130081301,0.8943089430894309,16,60,309.50705758295953
RG-SCSO-MI,mi,Sonar,27,0.09381300813008131,0.9089430894308943,22,60,334.3093601670116
RG-SCSO-MI,mi,WDBC,0,0.027997826424468276,0.9754230709517155,11,30,288.10244324989617
RG-SCSO-MI,mi,Sonar,28,0.11694773519163759,0.8849012775842044,18,60,328.00629325024784
RG-SCSO-MI,mi,WDBC,1,0.026260984319205004,0.9771774569166279,11,30,315.79442962491885
RG-SCSO-MI,mi,Sonar,29,0.1124518002322881,0.8897793263646921,20,60,343.659663207829
RG-SCSO-MI,mi,WDBC,2,0.023120633442012123,0.9806862288464524,12,30,336.0125082912855
RG-SCSO-MI,mi,WDBC,3,0.021368421052631523,0.9824561403508772,12,30,367.7800522497855
RG-SCSO-MI,mi,WDBC,4,0.026943021269989112,0.9771619313771154,13,30,370.74996979162097
RG-SCSO-MI,mi,WDBC,6,0.024175438596491294,0.9789473684210526,10,30,363.41128999972716
RG-SCSO-MI,mi,WDBC,8,0.027609687936655778,0.9771619313771154,15,30,381.44379504118115
RG-SCSO-MI,mi,WDBC,9,0.02378730010867879,0.9806862288464524,14,30,378.5159016251564
RG-SCSO-MI,mi,WDBC,7,0.024151374010246886,0.9806551777674274,15,30,421.13997799996287
RG-SCSO-MI,mi,WDBC,5,0.02653951249805939,0.9789163173420276,17,30,447.7577696670778
RG-SCSO-MI,mi,WDBC,10,0.02523691973296082,0.9788852662630025,13,30,376.8563177078031
RG-SCSO-MI,mi,WDBC,12,0.025958391554106657,0.9771464058376027,10,30,379.7022116673179
RG-SCSO-MI,mi,WDBC,11,0.02306582828753317,0.982425089271852,17,30,482.9500188329257
RG-SCSO-MI,mi,WDBC,13,0.023469337059462674,0.9806707033069401,13,30,422.43812262499705
RG-SCSO-MI,mi,WDBC,14,0.025260984319205006,0.9771774569166279,8,30,405.0222945827991
RG-SCSO-MI,mi,WDBC,16,0.024857475547275285,0.9789318428815401,12,30,414.15613708412275
RG-SCSO-MI,mi,WDBC,17,0.024206179164725835,0.9789163173420278,10,30,418.6000604997389
RG-SCSO-MI,mi,WDBC,15,0.02136842105263174,0.982456140350877,12,30,439.727202875074
RG-SCSO-MI,mi,WDBC,18,0.022787300108678788,0.9806862288464524,11,30,449.2119515831582
RG-SCSO-MI,mi,WDBC,19,0.021383791336748958,0.9824406148113647,12,30,445.5958714997396
RG-SCSO-MI,mi,WDBC,20,0.022469337059462784,0.98067070330694,10,30,448.3957151668146
RG-SCSO-MI,mi,WDBC,21,0.022802670392796116,0.98067070330694,11,30,440.0269893328659
RG-SCSO-MI,mi,WDBC,22,0.028059307560937913,0.9753609687936654,11,30,432.25214287498966
