n_feat,per_query_ms,batch_ms,n_test,dataset,algorithm
7,0.41285459883511066,0.17410400323569775,21,Zoo,RG-SCSO
8,0.15625054948031902,0.26056263595819473,21,Zoo,SCSO
16,0.2143331803381443,0.22506201639771461,21,Zoo,AOA
19,0.15252106823027134,0.20193750970065594,42,Sonar,RG-SCSO
30,0.15168730169534683,0.19945832900702953,42,Sonar,SCSO
59,0.18950016237795353,0.19235466606914997,42,Sonar,AOA
12,0.21320790983736515,0.3156452439725399,114,WDBC,RG-SCSO
14,0.20760390907526016,0.31227036379277706,114,WDBC,SCSO
30,0.17870869487524033,0.2930834889411926,114,WDBC,AOA
563,0.16933330334722996,0.18016668036580086,13,ColonCancer,RG-SCSO
997,0.1644373405724764,0.26339595206081867,13,ColonCancer,SCSO
1991,0.16981223598122597,0.21756300702691078,13,ColonCancer,AOA
940,0.16514607705175877,0.17806258983910084,15,Leukemia,RG-SCSO
1781,0.1724583562463522,0.22381311282515526,15,Leukemia,SCSO
3528,0.16885437071323395,0.2490829210728407,15,Leukemia,AOA
