beta,dataset,n_runs,n_total_features,mean_accuracy,mean_n_selected,std_accuracy,std_n_selected
0.0,ColonCancer,30,2000,0.8836752136752136,568.3666666666667,0.023333219977507008,23.287533046724782
0.0,Leukemia,30,3571,0.9860317460317464,1441.4333333333334,0.0004566317157004068,358.6913651069661
0.0,Sonar,30,60,0.8951103368176538,19.033333333333335,0.008951607630055517,4.421603183534642
0.0,WDBC,30,30,0.9786886094291778,13.666666666666666,0.0016415874777028132,2.758477007752439
0.0,Zoo,30,16,0.9808095238095238,8.3,0.0035856858280031707,2.437494473910624
0.001,ColonCancer,30,2000,0.880940170940171,563.1333333333333,0.02158644116341932,17.963052757474607
0.001,Leukemia,30,3571,0.9860000000000004,939.6666666666666,0.0004438967616185151,17.412507065292193
0.001,Sonar,30,60,0.8946573751451798,19.5,0.010757011064003206,3.954482397796551
0.001,WDBC,30,30,0.9792702996429126,12.4,0.00212909595702156,2.724094281623236
0.001,Zoo,30,16,0.9804920634920634,7.3,0.0031400279183082967,2.2151515866242963
0.005,ColonCancer,30,2000,0.8809401709401711,563.1333333333333,0.02158644116341932,17.96305275747461
0.005,Leukemia,30,3571,0.9860000000000004,939.6666666666666,0.0004438967616185151,17.412507065292193
0.005,Sonar,30,60,0.8930236159504451,18.733333333333334,0.009308423757670258,4.050826508541047
0.005,WDBC,30,30,0.9792702996429126,12.4,0.00212909595702156,2.724094281623236
0.005,Zoo,30,16,0.9804603174603173,6.766666666666667,0.004053137035301721,1.9945327571990965
0.01,ColonCancer,30,2000,0.8809401709401711,563.1333333333333,0.02158644116341932,17.96305275747461
0.01,Leukemia,30,3571,0.9860000000000004,939.6666666666666,0.0004438967616185151,17.412507065292193
0.01,Sonar,30,60,0.8939643825009679,19.066666666666666,0.008660674295613045,3.768593749739379
0.01,WDBC,30,30,0.9793857061532888,11.8,0.0020105162667975766,2.1399323224876965
0.01,Zoo,30,16,0.9807619047619046,7.266666666666667,0.0044135291968956806,2.1323992207796385
0.02,ColonCancer,30,2000,0.880940170940171,563.8,0.02158644116341932,18.844920654721754
0.02,Leukemia,30,3571,0.9860000000000004,939.6666666666666,0.0004438967616185151,17.412507065292193
0.02,Sonar,30,60,0.8942857142857144,18.433333333333334,0.008764351399421303,2.6611293082829137
0.02,WDBC,30,30,0.9785069606168815,10.466666666666667,0.0022430582936032997,2.1929877797878516
0.02,Zoo,30,16,0.9804444444444443,7.2,0.004054005072099949,2.1399323224876965
0.05,ColonCancer,30,2000,0.8824358974358973,557.7666666666667,0.020996588800436616,15.897697368147233
0.05,Leukemia,30,3571,0.9860000000000004,939.6666666666666,0.0004438967616185151,17.412507065292193
0.05,Sonar,30,60,0.8934339914827718,17.2,0.008488066859148217,2.97576417308111
0.05,WDBC,30,30,0.9762837033586915,8.233333333333333,0.002908685129928773,1.9241358711314316
0.05,Zoo,30,16,0.9774603174603175,5.966666666666667,0.004434267807967866,1.4015590662158888
