algorithm,dataset,n_runs,n_total_features,mean_n_selected,nogueira_phi
AOA,ColonCancer,30,2000,1990.9333333333334,-0.0007334127014864134
AOA,Leukemia,30,3571,3528.233333333333,-0.00515744415936692
AOA,Sonar,30,60,59.46666666666667,0.004078398020714968
AOA,WDBC,30,30,29.7,0.0053794651495810974
AOA,Zoo,30,16,15.966666666666667,-0.0020876826722371344
RG-SCSO,ColonCancer,30,2000,563.1333333333333,0.013935964667699863
RG-SCSO,Leukemia,30,3571,939.6666666666666,0.01516264651288346
RG-SCSO,Sonar,30,60,19.066666666666666,0.08789682742282989
RG-SCSO,WDBC,30,30,11.8,0.19011438590632046
RG-SCSO,Zoo,30,16,7.266666666666667,0.5409704630141684
SCSO,ColonCancer,30,2000,982.0,0.004316478998965589
SCSO,Leukemia,30,3571,1693.1333333333334,0.001203118715559115
SCSO,Sonar,30,60,27.533333333333335,0.05892522612214146
SCSO,WDBC,30,30,14.5,0.1566107936020864
SCSO,Zoo,30,16,8.433333333333334,0.5120741591559046
