tau,dataset,n_runs,n_total_features,mean_accuracy,mean_n_selected,nogueira_phi
0.4,ColonCancer,30,2000,0.8703846153846154,702.4666666666667,0.008779901488307096
0.4,Leukemia,30,3571,0.9860000000000004,1205.3666666666666,0.011076669562845809
0.4,Sonar,30,60,0.8920131629887726,20.366666666666667,0.08248053874970185
0.4,WDBC,30,30,0.9795000776276976,13.166666666666666,0.19331348237399026
0.4,Zoo,30,16,0.9811111111111112,7.5,0.5098670272706783
0.5,ColonCancer,30,2000,0.8809401709401711,563.1333333333333,0.013935964667699863
0.5,Leukemia,30,3571,0.9860000000000004,939.6666666666666,0.01516264651288346
0.5,Sonar,30,60,0.8939643825009679,19.066666666666666,0.08789682742282989
0.5,WDBC,30,30,0.9793857061532888,11.8,0.19011438590632046
0.5,Zoo,30,16,0.9807619047619046,7.266666666666667,0.5409704630141684
0.6,ColonCancer,30,2000,0.8802136752136752,544.5,0.012017804857417436
0.6,Leukemia,30,3571,0.9864444444444449,927.6333333333333,0.012029125553465136
0.6,Sonar,30,60,0.8915834301200153,17.066666666666666,0.09304555311629858
0.6,WDBC,30,30,0.9790969311183562,11.066666666666666,0.1633118193999895
0.6,Zoo,30,16,0.9794285714285713,6.3,0.6608339587365538
